,x_pixel,y_pixel,cell_type,sub_type_1,sub_type_2,sub_type_3,sub_type_4,sub_type_5
C_0,16265,19934,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_2,7178,18782,fibrous,fibrous,a_others,a_others,a_others,fibrous_4
C_3,14487,6446,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_4,15497,7025,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_5,14237,9202,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_6,16762,11230,immune,immune_1,a_others,a_others,immune,immune_1
C_7,20049,17175,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_10,20551,13693,tumor,a_others,a_others,a_others,a_others,tumor_5
C_11,20300,15289,tumor,a_others,a_others,a_others,a_others,tumor_5
C_12,14999,14858,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_13,14993,7896,fat,a_others,a_others,a_others,a_others,fat
C_15,10954,7319,immune,a_others,a_others,a_others,a_others,immune_3
C_16,19288,12969,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_21,12973,7317,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_22,14750,18775,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_23,14246,19066,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_25,15504,15148,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_26,20049,17755,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_27,14745,13263,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_30,6923,15156,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_31,16002,7605,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_36,17518,9634,immune,immune_1,a_others,a_others,immune,immune_1
C_37,15499,9926,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_38,10705,11236,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_44,18528,9633,immune,immune_1,a_others,a_others,immune,immune_1
C_45,7427,14865,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_49,19792,12678,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_51,7170,9498,tumor,tumor_5,a_others,a_others,a_others,tumor_6
C_57,15255,18485,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_58,6670,14431,immune,immune_2,a_others,immune,a_others,immune_2
C_59,19292,17030,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_61,7683,18491,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_65,8694,20231,fibrous,fibrous,a_others,a_others,a_others,fibrous_4
C_68,17274,18773,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_71,15753,11231,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_72,9695,10947,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_77,13229,11524,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_79,12478,18632,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_80,17015,11085,immune,immune_1,a_others,a_others,immune,immune_1
C_81,7679,14720,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_84,18783,12969,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_86,10451,9060,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_87,12476,16311,immune,a_others,a_others,a_others,a_others,immune_2
C_88,13480,9348,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_90,10206,18199,fat,a_others,a_others,a_others,a_others,fat
C_91,18533,15726,tumor,a_others,a_others,a_others,a_others,tumor_5
C_95,18023,10214,immune,immune_1,a_others,a_others,immune,immune_1
C_102,9695,10657,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_103,11210,11816,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_107,14750,18485,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_110,15003,19790,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_111,13984,8767,fat,a_others,a_others,a_others,a_others,fat
C_112,19287,12099,necrosis,necrosis_2,necrosis_2,a_others,a_others,necrosis_3
C_117,8189,20232,fibrous,fibrous,a_others,a_others,a_others,fibrous_4
C_119,20804,15288,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_120,12723,9493,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_121,16762,10650,immune,immune_1,a_others,a_others,immune,immune_1
C_122,20548,10502,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_124,15759,17614,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_127,10460,19794,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_132,14248,21677,tumor,tumor_6,a_others,a_others,a_others,tumor_7
C_133,5659,13851,fat,a_others,a_others,a_others,a_others,fat
C_134,20554,17174,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_135,16759,7459,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_136,10209,21100,fat,a_others,a_others,a_others,a_others,fat
C_137,13225,6592,immune,a_others,a_others,a_others,a_others,immune_3
C_140,15751,9491,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_141,14748,16454,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_146,8441,19216,fibrous,fibrous,a_others,a_others,a_others,fibrous_4
C_147,11206,7464,immune,a_others,a_others,a_others,a_others,immune_3
C_148,8433,10223,tumor,tumor_5,a_others,a_others,a_others,tumor_6
C_149,17518,9054,immune,immune_1,a_others,a_others,immune,immune_1
C_153,20298,13548,tumor,a_others,a_others,a_others,a_others,tumor_5
C_154,20300,16159,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_155,16008,14277,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_156,15001,17179,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
