,xpixels,ypixels,cell_type,sub_type_1,sub_type_2,sub_type_3,sub_type_4,sub_type_5
0,16467,19883,immune,a_others,a_others,a_others,a_others,immune
1,18720,7839,tumor,tumor_1,a_others,a_others,a_others,tumor2
2,7378,18737,tumor,a_others,a_others,a_others,a_others,tumor1
3,14679,6394,tumor,a_others,a_others,a_others,a_others,tumor2
4,15690,6973,tumor,a_others,a_others,a_others,a_others,tumor2
5,19243,19154,immune,a_others,a_others,a_others,a_others,immune
6,4606,22078,tumor,a_others,a_others,a_others,a_others,tumor1
7,15208,21771,immune,a_others,a_others,a_others,a_others,immune
8,17482,23073,stroma,a_others,a_others,a_others,a_others,stroma2
9,14431,9151,tumor,a_others,a_others,a_others,a_others,tumor2
10,16959,11178,tumor,tumor_5,a_others,a_others,a_others,tumor2
11,20249,17121,immune,immune_1,immune_1,a_others,a_others,immune
12,13167,7847,immune,a_others,a_others,a_others,a_others,immune
13,5352,14387,tumor,a_others,a_others,a_others,a_others,tumor1
14,4354,22223,tumor,a_others,a_others,a_others,a_others,tumor2
15,12675,16552,stroma,stroma_1,a_others,stroma,a_others,stroma2
16,4856,20772,tumor,a_others,a_others,a_others,a_others,tumor2
17,21521,23357,immune,a_others,a_others,a_others,a_others,immune
18,20251,18282,stroma,a_others,a_others,a_others,a_others,stroma2
19,20749,13639,stroma,a_others,a_others,a_others,a_others,stroma2
20,7383,22218,immune,immune_2,immune_2,a_others,immune,immune
21,5867,21060,tumor,a_others,a_others,a_others,a_others,tumor1
22,20499,15235,immune,immune_1,immune_1,a_others,a_others,immune
23,9654,21490,tumor,a_others,a_others,a_others,a_others,tumor1
24,15197,14808,stroma,stroma_1,a_others,stroma,a_others,stroma2
25,19981,6821,stroma,a_others,a_others,a_others,a_others,stroma2
26,15186,7844,stroma,a_others,a_others,a_others,a_others,stroma2
27,21769,20310,stroma,a_others,a_others,a_others,a_others,stroma2
28,3843,18452,tumor,a_others,a_others,a_others,a_others,tumor2
29,6358,12065,tumor,a_others,a_others,a_others,a_others,tumor2
30,11147,7270,stroma,a_others,a_others,a_others,a_others,stroma2
