,x_pixel,y_pixel,layer_type,cell_type
0,49.77124718410813,4980.7776640043685,L6,eL6-2
1,53.47311391818288,8729.177424962336,L4,eL4
2,46.31549262675519,11547.566359203338,L2/3,eL2/3
3,37.612810621691935,3280.980263748094,I_CC,eL6-2
4,45.35031185031185,7582.793601293602,L5,eL5
5,50.13700344072568,4691.683640913357,L6,eL6-1
6,48.9578282102844,12817.143809250216,L2/3,eL6-1
7,91.88149725031045,3426.17491573532,L6,eL6-2
8,84.1451196662778,5157.435323646905,L6,eL6-1
9,61.31039593478721,1480.0390641541394,I_CC,Micro
10,55.56052130788305,9461.603944409204,L4,eL4
11,58.75377177627741,12633.158039509875,L2/3,eL2/3
12,73.60596399099775,10688.079207301826,L2/3,eL2/3
13,73.38752389718898,12065.723040430505,L2/3,eL4
14,81.66815502768351,13121.71030541168,L1,eL2/3
15,74.05760602113186,4216.013943165919,L6,eL6-1
16,78.53595908467784,569.0051671412,HPC,Endo
17,89.30364673778219,2851.3394525758704,I_CC,Oligo
18,97.24617916764636,1324.54543851399,I_CC,Astro
19,134.0175016056519,3272.789499036609,I_CC,eL6-2
20,125.94064051503082,9137.065470020189,L4,eL5
21,122.75309376487388,9265.449904807234,L4,eL4
22,138.48084990465813,3603.8647779896487,L6,eL6-2
23,126.79167387418556,9856.904745430433,L4,eL4
24,133.46355442088262,9993.975459803054,L2/3,eL2/3
25,135.47829931188252,11006.365663322184,L2/3,Endo
26,133.09269435914013,11766.123323096816,L2/3,eL2/3
27,143.75221975582687,4510.078200147984,L6,eL5
28,127.16596127393926,12922.530949105914,L1,eL4
29,154.9392547002782,13714.760391198044,L1,Micro
30,159.9070197044335,9423.857943349754,L4,eL4
31,168.39476935749587,2553.5340472267985,I_CC,Astro
32,157.09036392767223,6873.340535591668,L5,eL5
33,173.70480446011314,7081.700869066164,L5,eL4
34,177.94879306304196,5523.4938481368645,L6,Oligo
35,166.74453736174806,4053.37271828073,L6,eL6-2
36,157.1312199036918,6314.988253319714,L5,PVALB
37,159.98455181182453,1033.0219326128415,HPC,eL5
38,187.9717783772567,2246.444957460054,I_CC,Oligo
39,173.63814262023217,2811.9539800995026,I_CC,Oligo
40,170.8976355876764,11304.52256939036,L2/3,eL2/3
41,197.695188232361,8723.938967838445,L4,eL4
42,188.58451053283767,10627.52156133829,L2/3,Micro
43,214.4548411873673,11822.7615325532,L2/3,eL2/3
44,184.90604125376203,934.070542464949,HPC,Endo
45,224.0120278727087,10469.804669122545,L2/3,eL2/3
46,217.9780703705351,5405.77069525377,L6,eL6-2
47,253.0161472523091,12753.131171506411,L2/3,eL2/3
48,255.1228003475994,1346.5820117314795,I_CC,Astro
49,235.1176622482355,2669.91797211224,I_CC,Oligo
50,239.60476888867865,6022.428537635426,L5,eL6-2
51,247.52298633245096,8838.501323537355,L4,eL4
52,282.032728985166,2801.5233105721686,I_CC,Oligo
53,253.98379227188605,3288.2227020357805,I_CC,eL6-2
54,297.10435875943,1020.5396060352052,HPC,eL5
55,258.26415020228603,9739.765544601123,L4,eL4
56,305.89810143643854,10631.29537489891,L2/3,eL2/3
57,289.7450626824661,3603.8706422806113,L6,eL6-2
58,292.28753796507215,6890.985098709188,L5,Astro
59,307.4996456892188,12261.389775603173,L2/3,eL6-1
60,326.1601079622132,907.5889338731444,HPC,Micro
61,311.77279028049577,7611.680854533594,L5,eL5
62,312.20099508113304,1540.9478713179171,I_CC,Oligo
63,311.7581075925219,221.481114078596,HPC,HPC
64,323.97421705640886,10343.778746367789,L2/3,eL2/3
65,324.6981745197362,2668.301729905381,I_CC,Oligo
66,341.4209232349919,13298.490532804932,L1,VIP
67,341.8150002878029,4919.207390778794,L6,Oligo
68,347.4145159727381,8243.814302787558,L4,eL4
69,350.19606649674745,8525.112070605242,L4,eL4
70,362.9529848013185,4367.885552096685,L6,eL6-2
71,354.5161568537259,9874.984245630174,L4,eL4
72,373.7048832271762,4236.00553303738,L6,eL6-2
73,356.9109477124183,4009.928921568628,L6,eL5
74,364.5000910498042,8916.875944641719,L4,eL4
75,377.9730037646127,3486.9976223499107,L6,eL6-2
76,356.881252446184,1196.0749902152645,HPC,eL4
77,398.0127775515956,11586.146847890765,L2/3,eL2/3
78,393.3266555048785,113.55008371341148,HPC,Astro
79,366.4395556303653,11266.302676317118,L2/3,eL2/3
80,364.4475446428572,9341.235639880952,L4,eL4
81,398.2109253499223,9724.855300673924,L4,eL4
82,389.2617677286742,2213.414953751285,I_CC,Oligo
83,416.5598510522572,5937.647169574495,L5,eL6-2
84,414.4234716113951,563.179523752922,HPC,HPC
85,439.3453150590466,4112.985992586846,L6,eL6-2
86,427.9383339535378,7674.855403753123,L5,PVALB
87,438.6461563571079,12637.866247755836,L2/3,eL6-1
88,445.3098393155259,1467.2185413188647,I_CC,Oligo
89,444.17389624724063,8116.014514348786,L4,eL4
90,448.1179097973709,7820.841310189557,L4,eL4
91,441.4962933870096,12177.441651529283,L2/3,VIP
92,473.9714099085519,4900.319013164506,L6,eL6-1
93,453.61641433331386,6866.15373823581,L5,Oligo
94,453.5991583631615,1275.9749443745768,HPC,SST
95,484.072958635509,10801.314967767928,L2/3,SST
96,482.4385218788394,5641.312541347699,L5,eL6-1
97,464.7853141377025,9934.885729775317,L4,eL2/3
98,483.4840335270222,9067.2963953309,L4,eL4
99,501.5311682650392,8947.835058849172,L4,eL2/3
100,519.3427151051625,10643.39586998088,L2/3,SST
