,x_pixel,y_pixel,nucleus_type,cell_type
C_0,33.10320199999978,147.04511520000014,VLPO,Inhibitory
C_1,34.46305399999983,61.15457529999993,VLPO,Inhibitory
C_2,37.44824599999947,78.83763079999983,VLPO,Inhibitory
C_3,38.52475099999947,92.26493889999996,VLPO,Inhibitory
C_4,40.56127199999992,108.5351392,VLPO,Inhibitory
C_5,42.144111999999495,126.6672688,VLPO,Inhibitory
C_6,45.46536699999979,188.2602698999999,VLPO,Inhibitory
C_7,46.02143999999953,171.0223470999999,VLPO,Inhibitory
C_8,46.5934699999998,64.18296489999989,VLPO,Inhibitory
C_9,46.46030299999938,210.36550609999995,MPA,Endothelial 1
C_10,51.60586199999943,32.90956299999993,VLPO,Inhibitory
C_11,50.86392299999989,42.28219999999999,VLPO,Inhibitory
C_12,53.663064999999726,174.8836351,VLPO,Inhibitory
C_13,55.32478499999979,143.87968859999998,VLPO,Inhibitory
C_14,56.73539099999972,58.493713999999954,VLPO,Endothelial 1
C_15,58.04360599999973,115.86142259999995,VLPO,Inhibitory
C_16,68.96324800000002,72.37971479999987,VLPO,Inhibitory
C_17,72.04051699999945,207.1683967,VLPO,Inhibitory
C_18,73.9777039999999,36.94327799999997,VLPO,Inhibitory
C_19,76.52882899999986,67.37065210000003,VLPO,Inhibitory
C_20,75.96840799999973,127.85827930000004,VLPO,Inhibitory
C_21,76.85848899999974,186.88504439999983,VLPO,Inhibitory
C_22,75.83207399999947,46.62199599999997,VLPO,Inhibitory
C_23,77.56096899999966,161.60307199999986,VLPO,Inhibitory
C_24,79.40851399999973,96.80108040000005,VLPO,Inhibitory
C_25,80.17904999999973,170.24805200000003,VLPO,Inhibitory
C_26,80.47077300000002,148.08305010000004,VLPO,Inhibitory
C_27,82.7773769999999,45.75005499999998,VLPO,Inhibitory
C_28,83.73811599999998,183.619559,VLPO,Inhibitory
C_29,85.13958699999965,194.8519402999999,VLPO,Ambiguous
C_30,90.64242199999993,123.73933439999996,VLPO,Inhibitory
C_31,90.47889599999962,136.17368269999997,VLPO,Inhibitory
C_32,94.30920500000002,27.42900499999996,VLPO,Astrocyte
C_33,91.1004429999998,53.93025399999999,VLPO,Inhibitory
C_34,100.14296499999956,52.897137999999934,VLPO,Inhibitory
C_35,99.42147099999966,123.85656099999994,VLPO,Inhibitory
C_36,96.27289299999984,171.0495934999999,VLPO,Inhibitory
C_37,100.47889499999974,43.77818199999989,VLPO,Inhibitory
C_38,101.37779699999965,202.3903562,VLPO,Inhibitory
C_39,118.42302399999971,35.82456999999999,VLPO,Inhibitory
C_40,119.23518099999956,136.85252939999998,VLPO,Inhibitory
C_41,117.89774499999976,92.35040619999997,VLPO,Microglia
C_42,119.2206239999996,187.4581043,VLPO,Inhibitory
C_43,118.49652899999955,197.8908176,VLPO,Inhibitory
C_44,118.22780299999977,76.03243420000003,VLPO,Inhibitory
C_45,123.72122399999944,180.8540028,VLPO,Inhibitory
C_46,128.0319959999997,145.55767620000006,VLPO,Inhibitory
C_47,127.98304899999948,108.10315619999994,VLPO,Inhibitory
C_48,130.2060550000001,56.78404599999999,VLPO,Inhibitory
C_49,130.16819499999974,186.63686129999985,VLPO,Inhibitory
C_50,131.8812039999998,48.76742099999989,VLPO,Endothelial 1
C_51,138.4238519999999,78.39936489999991,VLPO,Inhibitory
C_52,141.18271699999968,174.3122631,VLPO,Inhibitory
C_53,141.9833309999999,35.322998999999975,VLPO,Inhibitory
C_54,142.98721099999966,67.54402960000004,VLPO,Inhibitory
C_55,144.2832029999995,157.05064660000005,VLPO,Inhibitory
C_56,145.21099599999934,104.67836939999984,VLPO,Inhibitory
C_57,150.2816759999996,158.58398609999998,VLPO,Inhibitory
C_58,149.86661499999946,138.8119754999999,VLPO,Inhibitory
C_59,154.8456599999995,69.45637449999992,VLPO,Inhibitory
C_60,151.80650299999982,204.69056289999992,MPA,Ambiguous
C_61,155.8220859999997,53.9944569999999,VLPO,Inhibitory
C_62,157.3915589999997,122.43228439999996,VLPO,Microglia
C_63,162.2592149999996,45.07023500000002,VLPO,Inhibitory
C_64,163.7449409999999,161.96204079999984,VLPO,Ambiguous
C_65,163.12170699999982,117.17507970000008,VLPO,Ambiguous
C_66,177.6889169999995,88.8846522,VLPO,Inhibitory
C_67,181.1076349999994,175.15484320000007,1_unsure,Inhibitory
C_68,177.93016699999953,114.40275800000006,VLPO,Inhibitory
C_69,185.7557309999997,86.56563730000003,VLPO,Inhibitory
C_70,186.5892019999997,190.7667874,MPA,OD Immature 1
C_71,190.13313699999927,182.9403867000001,MPA,Astrocyte
C_72,191.12693,134.36192569999992,1_unsure,Inhibitory
C_73,197.5308509999996,34.856416000000074,1_unsure,Astrocyte
C_74,198.9083169999994,202.75077779999992,MPA,Astrocyte
C_75,38.530309999999645,166.04997930000005,VLPO,Inhibitory
C_76,59.96123399999989,94.42116550000004,VLPO,Inhibitory
C_77,59.34425999999939,135.5544476,VLPO,Inhibitory
C_78,66.78466899999968,162.3016411000001,VLPO,Inhibitory
C_79,77.34879299999966,83.69546759999993,VLPO,Inhibitory
C_80,124.51490999999945,82.34761409999999,VLPO,Inhibitory
C_81,131.97887399999945,202.3498688,VLPO,Ambiguous
C_82,153.0982339999996,151.9827039999999,VLPO,Inhibitory
C_83,203.02585699999963,134.44610049999994,1_unsure,Inhibitory
C_84,206.3159989999995,211.2102213,MPA,Inhibitory
C_85,32.3530109999997,37.116349000000014,VLPO,Inhibitory
C_86,33.1954609999998,173.56957079999995,VLPO,Inhibitory
C_87,36.686493999999584,132.75792779999998,VLPO,Endothelial 3
C_88,40.24926599999981,69.40733859999999,VLPO,Inhibitory
C_89,49.92557499999975,77.87612219999993,VLPO,Inhibitory
C_90,68.50176299999976,159.53083819999995,VLPO,Inhibitory
C_91,71.19189499999993,151.9037998,VLPO,Inhibitory
C_92,111.65175399999951,85.76286879999998,VLPO,Inhibitory
C_93,118.10909399999944,172.8872752000001,VLPO,Ambiguous
C_94,124.57228099999978,114.57180289999997,VLPO,Inhibitory
C_95,125.1857359999999,163.35929229999988,VLPO,Inhibitory
C_96,89.34061999999994,74.77205920000007,VLPO,Inhibitory
C_97,96.99082499999987,147.34316549999994,VLPO,Inhibitory
C_98,145.1828489999998,127.97227840000004,VLPO,Astrocyte
C_99,92.96478999999954,101.79172879999987,VLPO,Inhibitory
C_100,112.58234799999993,146.59368089999987,VLPO,Inhibitory
C_101,111.4410089999997,127.72493760000008,VLPO,Inhibitory
C_102,150.7258569999999,132.98328060000006,VLPO,Inhibitory
C_103,32.09897799999953,235.1930008,MPA,Inhibitory
C_104,31.589404999999715,344.30385849999993,MPA,Ambiguous
C_105,47.02851899999951,252.3748828,MPA,Astrocyte
C_106,52.89756399999989,353.699176,MPA,Inhibitory
C_107,55.53103299999975,327.2600432000001,MPA,Astrocyte
C_108,56.32200599999987,234.53520120000007,MPA,Endothelial 1
C_109,59.998903999999584,392.7577112,MPA,Inhibitory
C_110,61.603070999999545,369.1913054,MPA,Ambiguous
C_111,64.2672689999995,302.5228667999998,MPA,Ambiguous
C_112,69.73226199999954,327.6155059,MPA,Ambiguous
C_113,72.3477389999998,259.4109208,MPA,Inhibitory
C_114,88.11906899999941,379.1690651,MPA,OD Mature 2
C_115,88.57313999999953,239.845184,MPA,Inhibitory
C_116,81.43694399999958,289.43014889999995,MPA,Inhibitory
C_117,93.09324100000003,222.6990896,MPA,Endothelial 1
C_118,91.08336599999984,364.82675379999984,MPA,Ambiguous
C_119,96.3244729999997,339.4039717999999,MPA,Inhibitory
C_120,96.08391299999994,298.3847845,MPA,Astrocyte
C_121,98.05915899999992,314.1233872999999,MPA,Inhibitory
C_122,98.9158739999998,320.47411509999995,MPA,Inhibitory
C_123,100.23936099999992,347.46934870000007,MPA,Inhibitory
C_124,106.96299299999964,405.2327651000001,MPA,Microglia
C_125,104.3018459999994,398.24660120000016,MPA,OD Immature 1
C_126,112.72705599999972,379.1901394,MPA,Ambiguous
C_127,120.44645999999966,246.05990670000008,MPA,OD Mature 2
C_128,116.39656499999955,345.63501570000005,MPA,Inhibitory
C_129,121.74675999999954,305.41814770000013,MPA,Microglia
C_130,123.80157499999996,275.55675369999994,MPA,OD Immature 1
C_131,125.69164599999976,357.718283,MPA,OD Mature 2
C_132,132.6830619999996,328.27007820000006,MPA,Inhibitory
C_133,140.4081819999997,331.6003327,MPA,Inhibitory
C_134,143.1530339999999,291.45433060000005,MPA,Ambiguous
C_135,142.2922919999996,226.8419957,MPA,Inhibitory
C_136,148.72300099999984,356.9989201,MPA,Astrocyte
C_137,150.2827959999995,224.7501406,MPA,Endothelial 3
C_138,160.94485399999985,339.6677006,MPA,Ambiguous
C_139,165.09046399999986,323.39312339999987,MPA,Inhibitory
C_140,170.9856149999996,305.48814710000005,MPA,Endothelial 1
C_141,174.66559399999957,234.437459,MPA,Ambiguous
C_142,174.8465529999994,379.2615614,MPA,Microglia
C_143,178.43663699999937,266.49727770000004,MPA,Inhibitory
C_144,179.89637799999946,397.14175150000005,MPA,Inhibitory
C_145,184.3666879999996,275.29901470000004,MPA,Ambiguous
C_146,187.40408699999944,329.5991875,MPA,Inhibitory
C_147,192.5518599999996,257.3146727999999,MPA,Inhibitory
C_148,201.387288,373.7167276,MPA,Inhibitory
C_149,209.83439199999967,282.1589275,MPA,Inhibitory
C_150,212.5650859999996,251.8389837,MPA,Inhibitory
C_151,212.7052309999999,225.4445921,MPA,Inhibitory
C_152,45.02032999999983,264.6140045,MPA,OD Mature 2
C_153,89.38191899999947,268.58129689999987,MPA,Astrocyte
C_154,103.12393699999942,226.3065341,MPA,Excitatory
C_155,119.34448799999971,321.7915002,MPA,Endothelial 1
C_156,126.64119099999972,379.1340894,MPA,Astrocyte
C_157,176.77672699999994,243.03226329999984,MPA,OD Mature 2
C_158,189.10115,358.6300178999999,MPA,Astrocyte
C_159,192.9905259999996,355.9214365,MPA,Pericytes
C_160,196.251209,352.7203964999998,MPA,Endothelial 3
C_161,205.49922399999969,320.0550824999999,MPA,Inhibitory
C_162,46.261622999999865,284.25616610000003,MPA,Endothelial 3
C_163,45.62186299999985,230.58599099999992,MPA,Inhibitory
C_164,58.29060899999968,269.3466834999999,MPA,Microglia
C_165,82.36098999999967,262.22374520000005,MPA,OD Mature 2
C_166,142.9362919999994,247.5052201,MPA,Inhibitory
C_167,145.23856299999986,275.5645294,MPA,Inhibitory
C_168,153.32686400000009,234.2249545,MPA,Astrocyte
C_169,170.29567499999985,242.4369808,MPA,Endothelial 1
C_170,192.13746499999985,298.52784839999987,MPA,Excitatory
C_171,125.43872999999984,406.572058,MPA,Ambiguous
C_172,49.19917199999964,319.41946929999995,MPA,Ambiguous
C_173,62.386423999999806,233.2913827,MPA,Astrocyte
C_174,86.21347799999968,275.943539,MPA,Astrocyte
C_175,192.16336899999945,369.3188952,MPA,Ambiguous
C_176,29.695462999999567,492.1113391,1_unsure,Endothelial 3
C_177,31.958914999999703,566.1850614,1_unsure,Astrocyte
C_178,45.09280499999977,492.8559991,1_unsure,Astrocyte
C_179,46.27579599999946,511.1581559,1_unsure,Ambiguous
C_180,46.88800899999978,545.5822579999998,1_unsure,OD Immature 1
C_181,51.038828999999616,578.2974872000001,1_unsure,Microglia
C_182,53.06559599999946,479.63882170000016,MPA,Endothelial 3
C_183,56.215614999999616,429.0961315,MPA,Inhibitory
C_184,59.05213599999979,472.6575415,MPA,Pericytes
C_185,60.14346099999965,454.38113289999984,MPA,OD Mature 2
C_186,64.19524699999965,496.1470848999999,MPA,OD Mature 2
C_187,66.64331399999992,601.6916251,1_unsure,Inhibitory
