,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
C_0,17.565153,-0.65116453,0.024035895,-8.214021,3.0735338,-4.5919166,6.1552205,4.125311,-1.305978,1.7886176,-3.118957,-2.0134263,-0.15265492,1.4715282,1.0155036,0.25696012,0.32749417,0.814749,-0.25641218,0.65951186,0.3060156,1.5198948,-0.06631811,0.5432264,-1.2800748,0.23112138,-0.17599021,0.7554384,0.78859085,0.8378004,-0.06030886,-0.8356296,0.4030966,1.1518095,-0.38530132,-1.6315551,0.18374535,-0.071554914,1.8932245,-0.84851825,-0.042812716,0.3852171,0.23956542,-0.53302807,2.1145997,-0.81322414,-0.09136756,-0.69547594,-0.4385779,-0.30506584,-0.50036204,-1.4291366,0.27291673,-0.49825245,-0.039105564,-0.62016755,-0.46814656,2.1925533,0.5013829,-1.1346517,-0.24411139,0.789758,1.1582046,1.3267298,-0.41994622,0.3929739,-0.118453614,0.08209734,0.320388,-0.22045812,0.59831315,-0.015531072,-0.091324404,0.2105402,0.39863583,-0.49350092,0.6944004,0.2697744,-0.21360072,-0.054463252,0.7239782,-0.09944432,-0.79061985,1.0967926,-0.57138807,1.1086397,-0.29980296,0.59508187,-0.89091724,0.10873522,0.94820905,0.70232,-1.3955274,0.25782976,0.4337783,1.4654666,-0.40979472,0.9569446,0.7470383,-0.14492004,-0.79810935,-0.016561845,1.0659194,-0.64445335,-0.50209856,0.42646158,-0.6351122,-0.33307338,0.72952324,0.54432964,0.6102252,-0.495299,-0.6297114,0.5211611,0.9949849,-0.51012504,0.2075043,-1.0167122,-0.3227677,-1.1685164,-0.17673615,-0.49473608,0.8346961,0.5564389,-0.20167494,1.3787884,0.2240101,0.39181402,-0.14667283,0.5694027,-0.8804495,-0.081925325,0.011077227,-0.4719843,0.3394239,0.7914768,0.085685015,-0.81813246,0.26508754,0.15246934,-0.46395817,-0.5637456,0.023229096,-1.0901965,0.007937072,0.16766968,-0.11914065,0.45381716,1.0690786,0.10601281,0.14344104,-1.0111244,0.33842692,0.23027186,0.37536162,-0.40551618,0.20638627,0.31188664,1.7873279,-0.9828701,-0.013804271,0.11044905,-0.13832688,-0.642873,0.022495497,-0.4648225,-0.27959085,-1.0317091,0.39343846,0.31110096,0.28439587,1.052713,-0.13828266,-0.23066023,0.23179632,-0.35673478,0.33793977,-0.52337694,0.12445873,-0.79830104,0.106576055,-0.09435122,0.7293286,0.70025665,0.6273389,-0.3897771,0.22305371,0.18714121,-1.0995622,1.1541182,-1.0972185,-0.36968014,0.88124156,0.22694114,-0.2128233,-1.0651646,0.5193566,-1.7049302,-0.8622129,0.94897926
C_2,0.10457175,4.51726,-2.912565,2.66398,3.3200989,-2.316105,-3.7552886,-2.9025471,-1.4712131,-0.21628293,-0.17747217,2.3972375,0.82543766,-0.36475414,-0.6299394,0.5067437,-0.14067677,-0.6375181,0.45988077,0.4339269,1.1377603,-1.2306943,0.92634356,0.0022972398,-0.15772659,0.48451602,-0.64475214,-0.5881245,-1.0206921,0.83816046,0.77686614,-0.018308384,0.110829294,-0.11315642,-0.26254743,-0.52628964,0.43106303,-0.39594173,-1.1156265,0.023578567,-1.8128725,-0.058074955,-0.13917373,0.54750997,0.700719,1.2458189,0.5003241,0.17031328,-0.55328333,0.30818138,-0.27689812,0.17694259,-0.6159203,0.850129,-0.6112745,-0.5377112,0.967466,0.5294873,-0.036241226,0.021961518,0.6073764,1.1048552,0.27034083,-0.7116129,1.5720248,-0.60336155,0.909241,0.038961716,-0.31929252,1.7139059,-0.38438442,-0.4115193,0.28411067,0.005840823,0.09404033,1.5745893,0.27172047,-0.11950773,-0.48388243,0.43719617,-0.30763856,-1.563228,-0.6065964,1.22,0.33090523,0.19535746,0.18158017,-1.1207609,-0.48798144,-0.31062737,-0.7584879,0.96864307,-0.15055223,1.0215915,0.7137987,-0.9907676,0.30699107,-0.98111737,0.8338056,0.6670882,0.10114312,0.44074383,1.2498211,0.007505275,0.19172612,-1.0670388,-0.04064696,-0.67502785,-1.2202941,-0.5941593,0.6326362,0.5860986,0.26997244,0.7871452,-0.6424611,-0.18474068,1.4979861,1.7361797,-0.712556,0.9337548,-0.04568634,1.0104096,1.079724,0.24597481,0.35715306,-0.2623501,0.26044244,-1.205391,0.56629723,0.8589353,0.48871788,-0.10784981,0.10936871,-0.8938155,1.609128,-0.3486555,0.24240157,0.18486139,-0.1990183,0.85705197,0.124121755,1.4677643,0.3180519,0.42504838,1.0540166,-0.76790655,1.0664586,1.6870722,-0.03357612,-0.06451821,0.050446328,0.33626264,0.5896791,0.74874234,-0.24311195,1.6803554,1.212682,1.2775589,1.223151,-0.45960623,-0.25541472,0.6468837,0.58261436,-1.0390624,-1.0754278,0.08621785,0.23236984,-0.50944906,-1.1299845,1.238838,2.366093,0.51135933,-0.506052,-0.8355199,-0.5249065,-0.28815764,-0.87778234,1.4214072,0.0025804387,0.8769227,-0.7029555,0.51250964,0.26993218,-0.070176736,0.24842268,-1.3123305,-1.3526605,1.0858717,0.3326653,0.074036784,-1.2416736,-0.29004014,-0.08973374,-0.8896214,1.3482194,-0.29688114,0.0014922137,-0.30952534,-1.0375953,0.19815396
C_3,-16.701078,0.8550203,2.546018,-3.8809547,-4.699652,4.9173098,-2.1978884,7.6666145,3.7791357,-4.6277885,-4.2302384,4.4275417,1.2269017,2.2098925,2.4177094,-0.062268242,-1.3345666,1.4296404,0.2833287,1.1203035,-1.1199267,1.5030061,0.54623663,0.6013963,-0.9253911,1.703783,-1.5332692,-2.6612494,-1.6253318,1.766641,2.3252645,-0.31844375,2.3369663,-0.2867299,-1.7808783,2.233657,-1.9057509,-1.2573017,-0.94646573,-2.8646543,-0.245278,0.4030862,-1.5314397,1.8441497,4.9830384,3.7884848,1.9440424,0.24156979,-3.460803,0.69303685,1.4761733,0.77575666,1.2317176,1.9197654,3.1723685,2.0965214,2.4347742,-1.041423,1.689471,-1.6514567,-1.6618325,1.377897,1.0218798,0.4128639,-2.2544217,1.836329,1.2588291,0.49570176,-3.802498,2.331121,3.1762404,1.6950209,0.26347956,-1.4965657,2.631751,-1.472993,-1.9472555,3.2291162,-1.6274843,0.8387851,-0.5766263,0.9624407,0.1084491,-0.043812145,-1.8688064,1.4988886,0.34720758,-0.5467034,-1.6051682,0.716009,0.5251347,1.1339229,-2.6410065,9.129408,0.8352173,-2.1300855,-2.7063375,2.6953323,-1.4632945,1.0079043,0.7670439,0.7131939,-5.587796,-2.7967393,0.14997622,3.2731025,0.5317796,1.0231277,1.1537535,-1.9270599,3.3117409,2.2191668,1.573999,-6.814759,-0.5808056,3.2078474,0.6096596,-5.3339863,1.118118,-2.1517184,3.676542,-0.8606009,1.2326516,-0.5277043,-2.825714,3.0102124,0.9912257,0.9091418,-4.1693506,3.3047323,-6.2762594,1.8254392,-1.3922321,-0.8374844,-0.4133651,-1.4035169,-0.49619702,4.158245,2.5466201,3.828195,-1.8637412,0.8999054,-1.0382824,1.5638244,1.119511,-1.9842874,2.761721,6.380499,-1.002927,-5.869888,1.8526474,-3.2864168,0.17183228,-0.24637893,3.4223242,-1.4391706,2.5636823,-0.24251197,1.9468254,0.29130468,-4.1542726,-6.3980303,-0.51576144,0.18564995,0.939686,1.7785133,3.081289,-1.0567646,1.5015864,-0.64744586,-1.493959,-2.6190238,4.7605886,1.3667567,-2.7050536,0.16921972,1.7633116,0.7351434,-0.9595396,0.5157985,3.5830002,-4.2366333,0.30530164,5.1188717,2.8839934,-1.6005931,-2.8727155,-3.4763517,3.1499655,-5.0007133,-0.67106134,0.017256893,-3.4110851,1.9691211,-4.2864046,1.2801183,-3.7367928,-6.2327485,-0.31023178,1.0801749
C_4,-18.19693,5.4594297,0.4426231,6.9769998,1.1368492,-3.27245,-1.5572977,1.75683,0.7317595,0.46434438,-4.886159,4.5898304,1.303383,-0.027432825,2.4505355,0.74366903,0.85563165,-0.79434055,-0.99600315,-2.6391294,0.31844404,2.7600276,-2.1723552,-0.4019502,4.103287,1.6924343,3.0935416,0.8931027,2.749389,0.5255838,0.11321955,2.6942225,-0.34149653,-0.47728017,0.5747843,-1.068461,-2.4539428,0.28713626,3.0347123,-6.4027777,3.0196369,2.9057782,3.771436,4.0911636,-3.6141894,0.9023513,-3.0157409,5.7235503,-1.8959062,-4.4144216,-1.4582357,-0.6780136,0.788866,2.9103413,1.2647448,-0.4838218,3.7025247,3.4352639,-0.7056451,-2.0993729,3.301652,4.9646444,1.1634264,-2.5558062,0.5563022,-3.6997666,3.587108,-1.2094414,-4.193638,0.9245875,-1.065512,0.018718865,1.7069356,-3.7816598,3.0714865,6.0893865,2.6553502,0.7953787,2.2750847,-1.4259216,-1.8612368,-2.1474612,4.0423226,4.1225886,-2.8070083,-1.7773225,3.5023675,2.8852103,-0.33567315,-5.067837,-6.2320123,-0.8509321,3.1577358,-1.1414654,-2.239088,2.9161847,0.89576906,-1.3205982,-3.4502344,1.4536035,4.5087037,0.98016423,-1.0555712,2.8150578,-4.5184164,-2.4825728,1.0454404,4.5476317,1.5095963,-2.759995,-2.9836528,-0.3698814,1.4261059,-2.6263561,3.017273,2.3308783,-5.750322,-2.5249984,5.286639,-1.8257496,7.0883136,-2.7276309,1.7918714,-2.172433,-3.1565437,1.267119,-0.7028945,-2.5790505,6.198368,0.4630278,-4.547487,5.926355,-0.78657395,2.4337327,3.0646453,5.1174726,7.374829,-1.9267465,3.9008043,0.8312657,0.1406698,1.0880334,7.907163,-0.43355533,-3.753085,5.972406,-2.2918963,-0.6653017,2.647453,-0.9739374,2.1749942,-1.7845234,3.3470674,4.4023542,-1.9471023,6.2841043,3.940403,-2.9537902,0.2964491,3.0984514,-6.0689473,1.1598514,4.230464,-1.3723466,6.145457,-0.8068633,-5.3724384,4.87396,-4.093757,2.629808,-4.612559,-0.8321944,6.804425,0.6719136,-5.847168,-6.378265,-7.1768966,4.6429715,-1.3220361,7.2265544,0.27458918,-0.84190285,5.230515,-2.8938863,5.767958,-4.740996,2.9380033,1.7136294,3.5819347,-0.53515035,0.8931864,-3.057659,-4.7602654,1.9315065,-3.6533706,0.68940705,2.570387,3.144789,-0.72026134,3.6152914
C_5,-12.310273,-4.740543,-1.4229784,6.7973456,1.2927889,0.25506884,-0.2345999,-1.889402,0.057536617,0.8234871,-1.6567028,1.6466861,-0.7688804,0.9161336,-0.25716642,0.79425555,0.03759855,0.5710744,-0.3498727,0.31912205,0.02266253,1.3598422,1.1364063,-0.6276625,1.046621,-1.6395255,-0.97833014,-0.7654636,0.36870474,-0.37377656,0.22189139,0.6869952,-0.67350566,0.50620997,-0.992056,-1.1665994,0.23660971,0.610503,1.0716709,0.5307023,0.2542604,-0.61197597,-0.24823382,1.361004,1.4742218,1.083204,-0.2725113,-0.45431137,-1.4525652,-0.88700753,0.543769,-0.2574975,-1.2187601,0.3082772,-0.5189452,-1.0959555,0.47598323,-0.15590931,-1.3489008,1.1576754,-1.6226857,-0.35442427,-1.2834466,-0.64521605,0.2683143,0.5792581,0.7583625,1.3364619,0.57462484,0.11359312,0.6247434,-1.7915779,0.98680913,1.6543208,-0.06377986,-0.36469677,-0.6606651,1.1782982,-2.3877625,-0.30440524,-0.70942503,1.3064947,-1.7059658,0.36669368,0.81776375,1.7098894,-0.19618896,2.3248153,-0.6826408,-0.10972076,-1.1604837,-0.06052276,-0.8439558,0.539887,-1.4989065,0.25172126,0.9888264,1.0734576,0.045107413,-0.24348712,-0.23464455,-0.5043625,-0.46525025,0.44336033,-0.27334645,-1.1100194,0.6446111,-0.44484904,1.878475,0.39884564,-1.7839893,-0.56563795,0.11924809,-0.7133413,-0.9137618,0.33059734,-1.9126924,-2.1587784,0.22776532,0.7283033,-0.2704969,-0.050483856,0.62586516,-0.38140154,1.0058047,-0.00076989667,-1.7067906,-1.8804733,0.5192993,0.2147958,-0.16491632,0.14831549,-0.69085294,0.097433805,-1.4065272,1.641705,0.9955662,-0.30884108,-1.6918653,0.76479864,0.67041606,-0.6326271,3.1797254,1.2031866,0.47023404,0.74716926,0.8753657,-0.4926084,0.7058182,0.44767207,0.19091,1.1972263,0.8114055,-0.055565067,-0.49689046,2.0615928,-0.3401853,-0.031918988,1.6158605,-0.58910155,0.37846813,-0.42978343,-0.4958542,1.555271,-1.2306434,0.6887265,-1.552222,0.12897874,-0.008624502,-0.5462184,-0.34892288,1.1783334,-0.7024005,1.1146944,1.0027261,1.7140621,1.1688,-0.15488543,-1.4048957,-0.7219996,-0.41038495,1.3279606,-0.7893533,-0.21625829,-0.8394263,-0.056174893,0.062834255,0.97924715,1.4512542,-0.03596669,0.19039628,0.3529586,0.63388556,-1.3051857,0.41693655,-1.0989425,0.5678592,-0.13406892,-0.4729932,-0.5911687
C_6,-14.224663,-1.8284879,2.0721414,-2.8792245,0.43864867,-0.69023615,0.88796335,0.04475684,-4.173756,0.098771915,0.10516407,0.8477737,2.750511,0.27154598,-1.3005544,-0.35167912,0.68539256,0.7201279,0.17962193,0.24017349,-1.4939604,-0.9362937,1.0274647,-0.7998998,-0.10538615,-0.8354331,-0.46407092,1.0101867,-0.60124654,-1.9696786,0.44224942,-0.110075094,0.14935957,-2.5088913,0.28009352,-0.1364727,1.1738873,0.24464138,-1.6906306,-0.71111584,1.8940456,-1.2375041,-0.61400473,0.7251973,-0.79877424,1.6490717,-0.5884376,-1.489708,1.5297315,1.1609882,2.4545639,0.5698581,-0.7513336,-0.6814137,-1.040871,2.1639774,-0.3454957,-2.4716535,-1.1349866,1.132484,-0.563788,-1.0826565,0.013099456,-3.4192638,1.0967319,0.23426428,-0.80336154,1.679451,2.2959661,-0.65676916,1.682122,0.97786134,3.3059094,1.5898923,-1.3832761,1.4324516,2.5330403,0.9339784,0.7187581,-1.0535707,-1.6520154,0.45624512,1.734749,2.0221071,-2.1326988,-0.27025178,0.0031470691,-0.7815498,3.8709795,3.5450308,0.56211346,-2.7909865,1.5700804,-2.6843042,-0.64990634,-0.32281595,0.4694113,-3.4219244,-2.3354218,1.4040538,-0.16468142,2.1288235,0.8448974,-1.2550939,1.0671597,0.13923246,2.3657095,-1.0813537,0.9031616,-0.37837672,-0.2608249,-0.71693784,1.6180288,1.7834207,-1.4633446,1.0367994,-2.026401,1.2446902,-1.7261156,0.4863581,1.6854359,1.3363866,0.61214066,-1.4158955,-0.50766456,1.645885,-0.4430068,-1.2006252,0.330709,2.3919444,-0.5269534,-0.5108416,3.0893502,-2.559999,-2.4370432,1.6086206,-0.6050735,2.385663,0.33839166,0.2901384,0.88798565,1.211957,-0.29448795,0.16322628,0.87038535,0.009076476,0.7916306,0.47285005,0.54241264,1.794823,-0.669051,1.1717529,-1.235763,-3.7591221,-0.6803182,3.2980585,-0.49315444,-0.5231863,-0.97011924,-0.26219076,1.5345984,-0.6457681,-1.0207021,0.9562425,-1.9025033,1.9716946,-1.2453887,-3.577105,-2.21008,-1.2232605,-1.0360589,0.7196395,2.0781221,4.2796073,-1.3555609,0.056980055,1.2934034,-2.2316365,1.8547323,-2.1078587,3.2987196,-0.120747164,-0.6798751,-3.2312121,-0.00063164235,1.1673635,0.9085216,-1.0689244,2.0237463,1.3394953,4.398851,0.025459617,0.091783956,-3.0553977,2.910085,1.7294855,-2.8149033,-0.5000867,0.13098177,2.8880224
C_7,-18.17396,5.3165107,1.275592,-1.5177549,-1.3850074,-4.6435504,1.2840829,1.2899556,-0.6010461,1.2271111,0.63223964,1.2630622,0.17997378,0.6400231,5.5583115,2.7119153,-6.8346763,-3.2924862,2.629334,2.1829505,1.0299197,0.7865461,-2.9983792,3.3508103,-6.4611793,0.052040283,0.51581526,0.5611776,-6.3109965,-3.552921,-4.031459,-8.0535555,3.9632475,-4.5320487,-3.7285109,3.2310717,-4.412881,8.17838,2.1965828,-4.7937007,0.5622448,-2.2585986,-3.1439793,1.7777771,-3.6880121,-2.51376,-1.9669251,4.9400086,4.092548,-4.6326685,6.343056,-10.1249485,-4.537404,-4.527635,-3.7510898,3.3931775,1.9714293,-0.39666268,5.169814,-3.2981915,1.6550438,-0.8179643,0.29229394,-0.16346735,-0.49631152,2.7095308,-3.1779404,5.076393,-3.8755486,1.4060426,-0.5055223,-2.1944218,-2.7245128,-0.60328627,3.3502173,0.7872346,7.0025024,10.516908,4.9927425,-1.7673571,-1.7749135,-1.7108333,4.69166,5.4763393,0.03280263,-3.6516502,5.9546933,-4.2514377,-0.10394369,1.94251,4.020192,7.692665,2.407795,-2.5456576,7.6734653,1.2540324,9.865901,-4.348831,-0.6313987,0.874525,1.3333958,0.5902562,0.6333521,-3.4589887,2.4859705,1.2062116,1.9406393,-8.269932,1.7658366,-2.1325655,-3.836095,-3.582887,-5.010992,-4.86653,-8.4049,-2.5830412,-0.73814607,1.4551789,-1.91827,-2.1405125,-0.33274105,-4.3632817,5.1975265,3.6926365,-0.18195112,-1.5490724,4.3392625,11.655114,-2.5854793,-2.1047053,1.4722861,-4.8704886,-2.3421662,2.0961206,-1.576465,5.1793385,3.310162,-2.5945992,2.4438467,-1.3635778,5.1148043,6.7017174,-0.56117123,-1.9759505,0.037323184,2.3172212,-6.3901186,-1.7584097,-1.0326028,-2.045717,-2.1871507,3.9867623,2.676719,-0.48766425,-0.70835274,-1.1888127,-2.4349625,0.17764497,-5.2665033,0.42998815,-1.6290861,-1.4525717,4.414019,5.842659,2.6841378,5.5696044,-0.620639,4.787785,1.4155604,-0.7714544,0.7232354,-1.8409766,-4.0541472,0.9549011,2.3794365,-3.7932587,-1.9562746,0.004132996,5.8452797,-2.0295963,1.4833378,2.67707,-2.059405,2.486025,-3.3622007,2.5707452,0.021095766,-6.097497,1.4039531,0.48829466,-2.6202676,-5.8321104,-5.4193373,1.3821298,1.755432,0.84409434,-3.481883,3.3992686,-0.43374148,-1.4635983
C_10,21.635448,2.5108836,-3.8727164,0.6439137,-6.757681,-1.5054055,2.7658005,1.2960064,-0.8844411,-2.3362577,2.9638069,1.1125063,0.47322115,-0.7414898,0.9786729,0.2353027,-0.26112625,-0.7414543,0.82913953,-0.010435159,-0.8319188,0.16656373,0.95813745,-0.86071676,-0.2773312,-0.43125787,-0.117568254,-0.74525183,0.170317,0.7213866,-0.28683102,-0.28990605,-0.65696365,-0.4774899,0.69022554,0.07502091,0.25096077,-0.09091993,-0.33808443,-0.69389117,-0.7555346,0.052247547,0.25395036,-0.81920743,0.19926462,-0.27474445,-0.9501503,0.384861,0.33535415,-0.013881685,-0.53830135,-0.55356973,-0.34045467,0.7503977,0.30504227,-0.5839744,0.16433382,-0.8486543,-0.22321075,-0.13426554,-0.11429028,-0.55224407,0.26261345,-0.3389847,-0.05385833,-1.0146064,0.47161967,-0.264047,-0.3674081,-0.30050793,-0.12940674,-0.5820326,-0.431699,-0.20766303,0.49859324,0.3290595,-0.7301227,-1.3120761,0.28422117,-0.8560764,-0.3356186,-0.93423015,-0.007832387,-0.9050656,0.65293986,-0.6699145,-0.6354378,0.5076405,-0.08682326,-0.2710738,-0.12002455,0.047881607,-0.41145968,-0.08960123,0.5263721,-0.33457276,0.31809235,0.37855974,-0.015354252,-0.8958972,0.26389503,0.066630065,-0.5657629,0.33862188,0.3787818,-0.09298495,-0.43433166,-0.55928147,-0.3326854,-0.20750706,0.20115602,0.36309245,0.9608844,0.49804118,-0.3353474,-0.10864317,0.006598805,-0.02454373,0.21055992,-0.36092287,-0.12448675,0.113953136,0.78624475,-0.1307417,0.25782713,-0.19605891,0.042882442,-0.008873525,0.07437985,-0.18885568,-0.3877029,0.21414483,-0.4883417,0.7799775,0.035499614,0.46241754,-0.38329616,0.025354687,-0.40714276,-0.17002645,0.01654232,0.62921983,0.6043115,-0.24441941,0.76236546,-0.38853556,-0.32735428,1.3656098,0.24133888,-0.6946109,-0.17760238,-0.03767598,0.31976435,0.7846469,0.97774655,0.06033076,0.24368578,0.13513236,0.35625985,-0.051883623,0.6716773,0.22264071,-0.20229085,-0.63127816,0.007887894,0.54006493,0.724001,-0.51915914,0.5372083,1.1823843,-0.64243436,0.22623304,0.7827841,-0.23090614,-0.109861895,-0.33820683,-0.12804842,0.063882574,-0.00012321767,-0.5016184,-1.2163038,0.036915936,0.42245954,0.7046057,0.16211438,-0.8379116,-0.59845203,-0.20890279,0.7572854,-0.41726848,0.12961374,0.19462678,-0.92047054,-0.33927235,-0.2977804,-0.23067148,-0.11177868,-0.50196594,0.4434607,-0.11157653
C_11,21.092358,3.1083975,-5.2400246,-3.649093,-0.93383265,-4.5607524,5.965262,5.3653307,-1.2180266,-1.491315,-3.6059465,-1.1836772,-3.3527777,0.8158934,-0.44656634,-0.38749027,0.8760585,0.007453827,-0.13393013,-0.67030966,0.6110754,0.9153594,0.39245692,0.3625843,-0.3167719,0.52321965,-0.08821816,0.43269008,-0.34623814,-0.103848696,-0.90398896,1.1382343,-0.107244246,-1.3858484,-0.76083195,-0.85532963,0.007813093,-0.065970056,1.2362463,0.25658923,0.58949107,0.8807883,-0.28946453,0.15586698,0.70193607,0.51931775,-0.14257562,-0.118551694,0.44935733,-0.89305866,0.1040007,-0.80183625,1.1696329,-0.88810444,-0.58823395,-0.606645,0.41311425,-0.8395864,1.1943529,0.41442356,-0.8263103,-0.52121377,-0.2813482,0.2533035,-0.19655351,-0.8025244,-0.16442813,0.0702311,0.89613044,0.21246767,-0.784131,0.5881921,-1.1995702,-0.5006272,0.3181642,0.1365262,-0.237539,-0.8605726,-0.39993572,-0.68389475,0.2175436,-0.034748636,0.4149757,0.681812,0.16792458,-0.10008875,0.4894438,0.5141441,-0.20522314,0.29431492,0.2144208,-0.9231672,-0.64824456,-0.71652704,-0.41442668,0.40885946,0.06569075,-1.2979742,-1.1401086,0.27910355,-0.83813083,-0.071508706,-0.29328096,-0.40225202,0.122999296,-0.4448993,-0.65680474,-0.19920953,0.019662576,-0.12034162,0.49678567,0.7174845,-0.62766445,-0.030678928,0.75452024,-1.0499045,-0.30581197,-0.46084318,-0.07382269,-0.4458949,-0.30537012,0.1017834,-0.45405883,-0.37309262,-0.5774226,-0.040712498,-0.042881146,-0.02757612,-0.019194098,-0.5001215,-0.7152284,0.46668577,0.48470286,-0.44840857,-0.10947947,-0.80325496,-0.24149884,0.23541924,0.10194876,0.51055425,1.4705253,0.026077013,0.4085322,-0.7045289,-0.5766214,0.012875791,0.018245354,0.27044025,1.276745,-0.0070075453,-0.09389942,-0.70597726,0.3254329,-0.06294453,0.36757317,-0.12065933,0.25901127,0.04937139,0.37448248,0.4806814,0.6809628,0.28682527,0.19131622,0.15725075,0.4723769,-0.4695288,-0.6783646,0.85765046,-0.8355078,0.62032783,0.9436639,0.6651041,-0.45804572,0.7804467,0.4118911,0.23813589,0.16808872,-0.27093303,0.057029735,-0.09560226,0.59507066,-0.054400392,-0.29043716,0.1361076,-0.11854436,0.119258724,0.36960405,0.35682246,-0.25237256,0.37866277,-1.2646595,0.58473,-0.5718387,-0.49555376,1.2811579,-0.5424283,0.33626294,-0.88598645,0.20213865,0.29425806
C_12,18.75355,-0.39854765,0.8984646,-1.3957384,5.5198717,-0.8737766,-2.6822093,-1.1620479,2.1470478,-0.74778086,-0.19826594,1.5281049,-0.7172555,0.698313,0.92990917,-0.03018765,-0.6980404,-0.066196784,-0.8762565,-0.26530027,0.76995534,0.05039295,-0.19779812,0.17430973,-0.8740057,-0.008241174,-0.5547364,0.5053952,-0.41697127,0.21336278,-0.17981696,-0.35212412,-0.7257479,0.40126988,-0.33565807,-0.059540376,-0.4945165,0.06587143,-0.041883625,-0.39350447,0.42125818,0.006027998,0.27556044,-0.7737577,-0.40413672,-0.0611131,0.028754106,-0.5874489,-0.4493705,-0.6256123,-0.15243392,0.07195135,-1.3235799,-0.05651126,0.3490694,0.11654409,-0.024526902,0.5997541,0.24963595,-0.67781836,0.056887787,-0.3463903,0.73748946,0.15902627,-0.51463944,-0.21993811,-0.4882263,1.2398534,-0.4007453,-0.10051289,0.4226746,0.075633414,0.93131757,0.019176742,0.8562822,-0.5879178,0.62393,-0.10862116,-1.0721,0.3446266,0.68121177,0.23568079,-0.39028567,0.21898383,0.5196057,-0.2299834,-0.3010001,0.61232525,-0.26012322,-0.5572948,-0.28691852,-0.7463105,-0.046163816,0.33922583,0.17812692,0.6254848,-0.6260357,-0.62806183,-0.38391805,-0.16993356,0.32876632,-0.51118624,0.020140672,0.2244763,-0.27224374,0.8231653,0.22177942,-0.7083482,0.668262,0.34095767,0.49980098,0.1474888,0.031695686,0.6450418,0.20217845,-0.6739672,-0.3232341,0.25463483,-0.234111,-0.27071264,0.47262463,0.11401981,-0.027181499,0.19879209,0.6652406,-0.39606294,1.1526333,0.02252945,0.4549725,0.009474222,-0.35335004,-0.06446123,1.276197,-0.54083955,-0.49414322,0.23547512,-0.29010186,-0.11853913,-0.56073236,0.6772906,0.18443954,-0.3706432,-0.20902285,0.012406298,-0.15532967,0.068320274,0.2106224,-0.050774757,-0.18151751,0.20081483,0.21354994,0.22256245,-0.2743732,-0.4908951,-0.24930982,0.004714174,0.3395149,1.267172,-0.7321084,-0.08075132,-0.1354068,-0.24829458,-0.48385283,-0.035628125,0.27579835,0.33711264,-0.3455488,-0.48836225,0.8236922,-0.2816888,0.15584002,0.04155533,-0.6250806,0.99717945,-0.57433265,0.8138204,0.1438079,-0.5249313,0.19785628,0.07112277,0.15433109,0.689181,-0.07946346,-0.52791744,-0.739698,0.31988883,-0.3277747,-0.39647657,-0.21144713,-0.089402765,-0.43112248,0.122162774,0.13992704,-0.28777936,0.3172821,0.09610092,-0.76096773,-0.25874773,0.2004188,-0.27779096
