,alpha,beta,r1,r2,ss,sr,var
0,0.0,0.0,0.2978811861307532,0.1201176911322694,-0.15281975591323194,0.0,0.0
1,5.0,1.0,0.8138152057988124,0.34461806436576303,-0.07114665421369196,1.0,2.7129883764347323e-06
2,5.0,2.0,0.6960647373630537,0.6163306118712583,-0.014584278311193207,1.0,5.043568420815257e-08
3,5.0,3.0,0.5766025981861517,0.7801683692707666,0.0002989198842186824,1.0,6.880584204007649e-08
4,5.0,4.0,0.49947393959874176,0.8541734076294515,0.025174640739786855,1.0,7.06526097001662e-09
5,5.0,5.0,0.4433832054412612,0.8963436317310473,0.040730563266776335,1.0,1.2324648962509073e-05
6,5.0,6.0,0.3997745324792301,0.9227634313013903,0.04693969152161342,1.0,2.658357260225692e-08
7,5.0,7.0,0.3654097957321143,0.9405134536644388,0.04890998683871493,1.0,4.1712140044034253e-08
8,5.0,8.0,0.3375973593522489,0.9530305468936469,0.04966115726614868,1.0,1.8604867747120472e-08
9,5.0,9.0,0.3152053357360956,0.962040451842491,0.04914914852688109,1.0,2.226916241655716e-08
10,5.0,10.0,0.29653644879546126,0.9688087520369931,0.0482523505997141,1.0,3.130168756866755e-08
11,6.0,1.0,0.8437097046014204,0.31196411697638343,-0.09089568738027472,1.0,8.359456131584749e-07
12,6.0,2.0,0.7452217944990824,0.5537680131218968,-0.02110009742417085,1.0,0.00011591594057056858
13,6.0,3.0,0.6276751089313841,0.733479486780124,-0.008232049140610067,1.0,4.036903968810009e-08
14,6.0,4.0,0.5479748762724298,0.8207415511381255,0.02114819864281864,1.0,0.00016889739496738222
15,6.0,5.0,0.4889443738247699,0.8698252019733821,0.03706808080572767,1.0,2.3136215847896208e-08
16,6.0,6.0,0.4425575224092937,0.9013134654936968,0.04545662952557715,1.0,3.072048125875137e-08
17,6.0,7.0,0.4050696929575827,0.9230273253021454,0.04887329686120744,1.0,1.7285870247587014e-08
18,6.0,8.0,0.3743429198630751,0.9385936138719976,0.04996741418823944,1.0,2.784107036701672e-08
19,6.0,9.0,0.34883813017776844,0.9500782419556713,0.05006393240985227,1.0,2.469885913236338e-08
20,6.0,10.0,0.32766448497061024,0.9587112755511596,0.04906798672666505,1.0,1.716175402256915e-08
21,7.0,1.0,0.8631910601853972,0.2884518096656782,-0.10857026733974753,1.0,1.1508413500724045e-06
22,7.0,2.0,0.7829154880019722,0.5011990009595082,-0.02735950612800175,1.0,0.004142485742700739
23,7.0,3.0,0.6715313206102835,0.6883046905927986,-0.009189406848463309,1.0,9.992724854511555e-08
24,7.0,4.0,0.5903089426168714,0.7866011998841179,0.01577237180139149,1.0,5.5065201999458735e-08
25,7.0,5.0,0.5298380408801339,0.841827802536816,0.03241417896132625,1.0,3.6712892011644544e-08
26,7.0,6.0,0.48141710030832674,0.8789055485339573,0.043064213149863355,1.0,0.00021752734255159637
27,7.0,7.0,0.4419350829503261,0.9043509155802775,0.04813615982601742,1.0,3.5446749182378306e-08
28,7.0,8.0,0.4090692597489372,0.9228672346078819,0.04990071712951699,1.0,1.3602649398201624e-08
29,7.0,9.0,0.38134055823381,0.9367775563306142,0.05058453522605265,1.0,1.490154616323291e-08
30,7.0,10.0,0.35806204199535263,0.9473521663775529,0.05007199571923675,1.0,2.2862745045910164e-08
31,8.0,1.0,0.8785495632786858,0.25867688216065654,-0.12954029206190565,1.0,3.486179002500638e-07
32,8.0,2.0,0.8138496627309525,0.4519272549472546,-0.038268462534481636,1.0,2.0188155629777725e-05
33,8.0,3.0,0.7090547497087629,0.6455389075492577,-0.0022470551098236037,1.0,0.001611193354560268
34,8.0,4.0,0.6277175868252471,0.7511632638458354,0.007910034502363704,1.0,6.316359860191876e-08
35,8.0,5.0,0.5664605158283027,0.8144531058700232,0.02838173973394585,1.0,9.522781727094777e-08
36,8.0,6.0,0.5171476425883562,0.8556031390616103,0.040036933937493926,1.0,7.282944971047575e-08
37,8.0,7.0,0.4760353904326516,0.88487172744418,0.04637832968014085,1.0,4.029509677123703e-08
38,8.0,8.0,0.44152865032815414,0.9062983421775255,0.04960654533911503,1.0,3.5224705516668434e-08
39,8.0,9.0,0.4122730378126549,0.9224899207861224,0.05049328693374076,1.0,8.310552105960407e-06
40,8.0,10.0,0.3870349317525881,0.9351024793783919,0.05080340422328214,0.95,0.0072053466620543485
41,9.0,1.0,0.8886658629593116,0.24456077619783875,-0.13567776186784913,1.0,0.002719994458305218
42,9.0,2.0,0.8373576641775827,0.4068880769399793,-0.04909459412839528,1.0,0.006059632807454124
43,9.0,3.0,0.742191297113601,0.5995389389182157,-0.0020400159882315353,1.0,8.360736262525803e-08
44,9.0,4.0,0.6605659824516225,0.7177910351499532,0.0033368957014000464,1.0,9.029575815656647e-08
45,9.0,5.0,0.5989087386127803,0.7867681018155207,0.02336646317095998,1.0,2.6784995184826943e-08
46,9.0,6.0,0.549007626806262,0.8323854211315913,0.035981229081369,1.0,3.692502464302062e-08
47,9.0,7.0,0.5074216963419038,0.864850604577019,0.04399223769350931,1.0,5.6194090782843966e-08
48,9.0,8.0,0.4719008677818991,0.8890672939715107,0.04818146335389164,1.0,3.192388693198491e-08
49,9.0,9.0,0.4419008360348821,0.9068369035564631,0.04996454699628522,1.0,9.51981663747531e-06
50,9.0,10.0,0.4147463441677643,0.9220993511400771,0.05079939731400719,1.0,0.0002512668349881409
51,10.0,1.0,0.8962905714468146,0.22642549160129957,-0.14764376736427012,1.0,5.61902736794334e-07
52,10.0,2.0,0.8538813148298582,0.3742447103707035,-0.05401743358131399,1.0,9.72622229716668e-07
53,10.0,3.0,0.770114908693554,0.5605255614534084,-0.002147106543565224,1.0,0.0006220282840946301
54,10.0,4.0,0.6901218453308561,0.6832745815596403,-0.00132078014074344,1.0,0.0005871784244445563
55,10.0,5.0,0.6283113510942091,0.7588809118227935,0.01797894230329923,1.0,0.0009804768803620095
56,10.0,6.0,0.5810529561050188,0.8056985070839272,0.029576499342120748,1.0,4.6052405521703715e-07
57,10.0,7.0,0.5362308788285063,0.8445353993014333,0.040989835544205884,1.0,4.352406269002701e-08
58,10.0,8.0,0.5002227620588454,0.8713085237934619,0.04628474178132554,1.0,0.0006173034238326866
59,10.0,9.0,0.4684820067805103,0.8922424048576156,0.04932725532957581,1.0,0.0013905632991868914
60,10.0,10.0,0.4407669446444575,0.9086813789386727,0.050630677862558066,1.0,0.0007330620106936484
61,11.0,1.0,0.9030513478859482,0.21379888545498787,-0.16188610310311785,1.0,0.004344183744348917
62,11.0,2.0,0.8676508419690285,0.34858145056316764,-0.062472211458150885,1.0,7.081248845353675e-07
63,11.0,3.0,0.7940446471880702,0.5219099785678222,-0.009062890887247106,1.0,0.0008813694100744393
64,11.0,4.0,0.7164438726431401,0.6501494351049815,-0.0037934576325103853,1.0,8.093960879415027e-08
65,11.0,5.0,0.6546957866611224,0.7313517212768321,0.012732820693167725,1.0,0.0016631780567230845
66,11.0,6.0,0.6072026567780466,0.7823904801076873,0.025169717729058842,1.0,0.00040323790041640867
67,11.0,7.0,0.562609298360093,0.8242184015297946,0.03766036454825151,1.0,6.356001045351064e-08
68,11.0,8.0,0.5262314958951135,0.8531392495297436,0.043666798804881085,1.0,0.0016032189756443455
69,11.0,9.0,0.46306083641118906,0.8461861290727526,0.03304025009851822,1.0,0.0013302048028848812
70,11.0,10.0,0.44443853866264854,0.8632936260213644,0.007655013325998082,1.0,0.00167129032454191
71,12.0,1.0,0.9085987202094683,0.19841476586197443,-0.17666383416675044,1.0,0.009682247903223511
72,12.0,2.0,0.8779103075045431,0.3235572010296037,-0.07258132502660444,1.0,0.008286166318526939
73,12.0,3.0,0.8154155743828609,0.4833709333390006,-0.01336102568822814,1.0,0.006526763121566472
74,12.0,4.0,0.7401226694588756,0.6183604582170049,-0.0009379846941361406,1.0,6.825009817396968e-08
75,12.0,5.0,0.6788023850169085,0.7043046229485699,0.007611218753773274,1.0,0.0015706006925886172
76,12.0,6.0,0.6294264669611841,0.76189762846363,0.02428170719564917,1.0,0.00219471513795416
77,12.0,7.0,0.589491608092864,0.801311137084116,0.032256542817637665,1.0,0.0016795385736925073
78,12.0,8.0,0.49530466824342234,0.8170278662447092,0.013827759758517778,0.95,0.011639494087778708
79,12.0,9.0,0.4690794882959317,0.8554199253317892,0.03365244952746192,1.0,0.00029718658252391323
80,12.0,10.0,0.45306777084817546,0.8167819661586143,0.014108397292922398,1.0,0.00014419950612665008
81,13.0,1.0,0.9120001490342803,0.19172383975534144,-0.18492258418202867,1.0,0.015214510056907507
82,13.0,2.0,0.8856271884244722,0.3037034925426735,-0.08406461076609746,1.0,0.005593567364308043
