,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
C_0,17.565094,-0.6511397,0.024032488,-8.213959,3.0735497,-4.5919003,6.1551833,4.125293,-1.3059567,1.7886379,-3.1189508,-2.0134373,-0.15262353,1.4715279,1.0154872,0.25696003,0.3275029,0.81471586,-0.25640622,0.65952164,0.30593666,1.5198213,-0.06637101,0.5432253,-1.2801067,0.23116955,-0.1759883,0.75540257,0.78858775,0.8378659,-0.060154215,-0.8356798,0.40300578,1.1518689,-0.38525674,-1.631591,0.18369116,-0.07159447,1.8932801,-0.8485044,-0.042827316,0.38513497,0.2395748,-0.5330834,2.1144962,-0.81354564,-0.09139886,-0.6954555,-0.4385685,-0.30505836,-0.50028014,-1.4291444,0.27293953,-0.49816224,-0.039113283,-0.6199354,-0.46808618,2.1923685,0.50133884,-1.1348753,-0.24419384,0.78989536,1.1579752,1.3269045,-0.4199991,0.3929872,-0.118433654,0.082091324,0.32039893,-0.22047643,0.59828496,-0.015521971,-0.0913449,0.21056049,0.39862928,-0.4935324,0.69435245,0.26982352,-0.21351373,-0.054458603,0.72402394,-0.09943214,-0.7905238,1.0966498,-0.5714781,1.1086509,-0.29998913,0.5950898,-0.89087343,0.10875359,0.94815725,0.70219624,-1.3955944,0.25781593,0.4337527,1.4654676,-0.40985242,0.95696,0.7469547,-0.14492701,-0.79808843,-0.016509868,1.066027,-0.644513,-0.5020929,0.4264949,-0.6350519,-0.33311242,0.72949547,0.5443987,0.6101146,-0.4952363,-0.62959653,0.5209477,0.9950901,-0.51035637,0.20749657,-1.0166425,-0.32273048,-1.1686164,-0.17669062,-0.49478847,0.8346642,0.5563625,-0.2016941,1.378883,0.22395808,0.39180416,-0.14666653,0.5694373,-0.8804403,-0.08194347,0.011046819,-0.47207764,0.33944076,0.7914416,0.0857337,-0.818256,0.2649309,0.15246138,-0.4639723,-0.56374747,0.023230514,-1.0901523,0.007912376,0.16773123,-0.11913519,0.4539213,1.0689902,0.10606929,0.14336714,-1.0111896,0.33843687,0.23029056,0.37536782,-0.40542608,0.20634127,0.3119016,1.7873456,-0.9829176,-0.013777579,0.110452175,-0.13835718,-0.6428674,0.022509469,-0.4648437,-0.27967525,-1.031689,0.3931955,0.31134015,0.2844482,1.0527884,-0.13824022,-0.23064288,0.23184349,-0.35672638,0.33801696,-0.5234131,0.1245646,-0.79827374,0.10651439,-0.09436952,0.7293662,0.7002258,0.6273306,-0.38974667,0.22302452,0.18710542,-1.0994729,1.1541402,-1.0973499,-0.36967754,0.88126075,0.2269285,-0.21281444,-1.065198,0.51936126,-1.7047975,-0.8624667,0.94912064
C_2,0.104923554,4.5172124,-2.9125712,2.66406,3.3201249,-2.316057,-3.7553344,-2.9025545,-1.4712276,-0.21628632,-0.17747392,2.3972294,0.82544196,-0.364763,-0.6299235,0.5067506,-0.14068353,-0.63751835,0.45992273,0.43402728,1.137703,-1.2306929,0.92634034,0.0023083705,-0.15769222,0.4846159,-0.6446568,-0.5880849,-1.0207932,0.8380971,0.7768271,-0.018156376,0.11090208,-0.11317515,-0.26254678,-0.5263515,0.43097392,-0.39600644,-1.1156255,0.023571672,-1.8128698,-0.058283847,-0.13921817,0.5473909,0.70089614,1.2457247,0.5003541,0.1702959,-0.5532911,0.3081325,-0.27688864,0.17692024,-0.6159793,0.85007644,-0.611319,-0.53763765,0.96746016,0.529549,-0.03637001,0.02197669,0.60721326,1.1050526,0.27013,-0.711402,1.5720843,-0.60329133,0.9092808,0.038981337,-0.3192778,1.7138965,-0.38430488,-0.41152292,0.2841609,0.0059390054,0.09391078,1.5745746,0.27182087,-0.11946275,-0.48390967,0.43717268,-0.30755845,-1.5632347,-0.6065611,1.2199922,0.3306995,0.19547743,0.18178467,-1.1207268,-0.48806885,-0.31065148,-0.7584584,0.9687544,-0.15057637,1.0215591,0.7137639,-0.9907031,0.3070184,-0.98117566,0.8337932,0.66698253,0.10123117,0.44086364,1.2498753,0.007539833,0.19167702,-1.0670197,-0.040489916,-0.67525333,-1.2203045,-0.5939502,0.6326847,0.58597344,0.27006036,0.7872468,-0.6423319,-0.18456793,1.4979573,1.7361233,-0.71260065,0.93385816,-0.045797296,1.0102488,1.0798471,0.2458204,0.3572298,-0.26235563,0.26043043,-1.2053541,0.56628036,0.8588587,0.48887777,-0.10777647,0.10943696,-0.89416164,1.6088257,-0.3488683,0.24254985,0.18493353,-0.19892347,0.8570979,0.12418931,1.4677871,0.31790388,0.4249895,1.0539854,-0.76815647,1.0663612,1.687118,-0.033817638,-0.06452158,0.05047892,0.33632684,0.58952034,0.7488417,-0.24341808,1.6803359,1.2123797,1.2777262,1.2230898,-0.45959,-0.2554442,0.64716434,0.5825245,-1.039107,-1.0754523,0.08618113,0.23245077,-0.50950086,-1.1307529,1.2378742,2.3661542,0.51149994,-0.5058955,-0.83559924,-0.52492094,-0.28822762,-0.8779143,1.421364,0.0024877188,0.87685007,-0.70299256,0.5124532,0.26995847,-0.07021596,0.24830021,-1.3123646,-1.3527163,1.0857193,0.33260778,0.07393403,-1.2417048,-0.29010227,-0.0897744,-0.8896482,1.3481973,-0.29691786,0.0014846884,-0.30928794,-1.0375994,0.19825216
C_3,-16.70108,0.8549841,2.546005,-3.8810155,-4.69967,4.9173784,-2.197882,7.6665955,3.7791765,-4.627783,-4.2302623,4.427481,1.2269146,2.2098284,2.4177349,-0.062226433,-1.3345319,1.4296137,0.28332585,1.120182,-1.1200504,1.502951,0.54614687,0.60146075,-0.9254379,1.7041163,-1.5329901,-2.66119,-1.6254933,1.7664403,2.3251107,-0.3182727,2.337216,-0.2866775,-1.7809056,2.233693,-1.9057983,-1.2572145,-0.94657904,-2.8645823,-0.2452954,0.40280017,-1.5317184,1.8434993,4.983733,3.7877822,1.9442158,0.2415172,-3.4608006,0.69324297,1.4760813,0.7759295,1.2317408,1.9198097,3.1722496,2.0962932,2.4349701,-1.0419768,1.6893325,-1.6511662,-1.6619275,1.3780729,1.0215533,0.41286066,-2.2545722,1.8361895,1.2588979,0.49566403,-3.8024557,2.3310795,3.1762252,1.6950233,0.26341084,-1.4960936,2.6320152,-1.4725188,-1.9473879,3.2297297,-1.6263417,0.838938,-0.57652736,0.9624536,0.10844077,-0.04426592,-1.8687254,1.4989501,0.34724972,-0.54654664,-1.6050991,0.7157596,0.5248871,1.1339633,-2.6413472,9.129469,0.8353106,-2.1299582,-2.7063806,2.6952267,-1.4627641,1.0079769,0.7671747,0.71306205,-5.5878434,-2.7967505,0.15021881,3.273019,0.5316657,1.0234175,1.1532934,-1.9263948,3.312398,2.218684,1.5737585,-6.8145013,-0.5819892,3.208703,0.60950994,-5.333544,1.1183796,-2.151653,3.6766355,-0.86071354,1.2326854,-0.5279093,-2.825855,3.0099826,0.9912264,0.9089415,-4.1693306,3.30518,-6.2762604,1.8252449,-1.3921798,-0.8377374,-0.4138046,-1.4032642,-0.49699694,4.157511,2.5475473,3.8284366,-1.8637285,0.89981675,-1.0382215,1.5636481,1.1194246,-1.9848194,2.7612684,6.380261,-1.0039617,-5.869542,1.8538221,-3.2866495,0.17199889,-0.24634491,3.4223273,-1.438755,2.5636725,-0.24227692,1.9472296,0.29109815,-4.1540565,-6.3984647,-0.51461357,0.18548816,0.93966883,1.7777965,3.0815487,-1.0569965,1.5019944,-0.6462718,-1.4939783,-2.619039,4.7601795,1.367199,-2.705022,0.16915973,1.7634963,0.7355394,-0.95958436,0.51600194,3.5831468,-4.2363787,0.30576316,5.118993,2.8837261,-1.6005993,-2.872472,-3.4765847,3.1498656,-5.000827,-0.67072785,0.017670073,-3.4112017,1.9691957,-4.2865043,1.280299,-3.7367733,-6.2325406,-0.31132704,1.0801699
C_4,-18.19697,5.459473,0.44262257,6.9769626,1.136837,-3.2724502,-1.557316,1.756851,0.7317629,0.46434015,-4.88614,4.5898514,1.3033307,-0.027573884,2.4505339,0.74367934,0.85570127,-0.794227,-0.9960234,-2.639075,0.31880337,2.7600713,-2.1723378,-0.40180025,4.1033626,1.6919084,3.0938132,0.8929259,2.7494516,0.5257052,0.11264663,2.6942787,-0.34109855,-0.47745883,0.5747034,-1.068224,-2.4540915,0.28739855,3.034775,-6.4027443,3.0196302,2.906248,3.7713573,4.0912895,-3.6136365,0.9033322,-3.015561,5.7234836,-1.8961859,-4.4142904,-1.4580293,-0.6778463,0.78883725,2.9104254,1.264612,-0.48342213,3.7027988,3.4351807,-0.7064318,-2.0993993,3.3009436,4.965584,1.1625091,-2.5548446,0.5564293,-3.7000058,3.5871382,-1.2093337,-4.193589,0.9246114,-1.0654948,0.01882486,1.7073891,-3.7808745,3.0715377,6.0896006,2.6558735,0.7946651,2.2751083,-1.425843,-1.8612537,-2.1473632,4.0422,4.12255,-2.807019,-1.7765917,3.502841,2.885651,-0.33563483,-5.068056,-6.231329,-0.85073143,3.1581936,-1.14173,-2.2392254,2.9163022,0.89575815,-1.3205086,-3.4501104,1.4535004,4.5088205,0.9798411,-1.0561346,2.8154562,-4.5186644,-2.4822583,1.044864,4.5481205,1.5095308,-2.7608879,-2.9831758,-0.36942348,1.4261347,-2.6268718,3.0166423,2.3302643,-5.7503405,-2.5245576,5.2866926,-1.8252151,7.088435,-2.7273848,1.7917786,-2.172595,-3.1567152,1.266857,-0.702699,-2.5790389,6.1983886,0.46269336,-4.547626,5.9264107,-0.7856726,2.4326866,3.0651157,5.1172986,7.3748145,-1.9266778,3.9020083,0.83117676,0.1408282,1.0882251,7.9077096,-0.43338192,-3.752509,5.9722524,-2.291212,-0.6648525,2.6473317,-0.9730141,2.1756694,-1.7848243,3.346846,4.4024954,-1.9479923,6.2838883,3.9401424,-2.9531198,0.29682487,3.0986,-6.068998,1.1610408,4.2302995,-1.3725897,6.1457224,-0.8060931,-5.3719106,4.873443,-4.0957136,2.627688,-4.6125755,-0.83222425,6.804481,0.67288166,-5.8467646,-6.3784547,-7.1771665,4.6429734,-1.3233119,7.2261314,0.27427074,-0.8418932,5.2304063,-2.89398,5.7678356,-4.7412686,2.9378357,1.7137128,3.5817938,-0.53514695,0.89322835,-3.0575616,-4.76024,1.9316937,-3.6535182,0.68959403,2.5703838,3.1449614,-0.71948016,3.6152995
C_5,-12.310307,-4.7404475,-1.4229747,6.79728,1.2927693,0.25507075,-0.23462103,-1.8894179,0.05751408,0.8234926,-1.6566801,1.6466973,-0.7688524,0.91618454,-0.25720727,0.79419863,0.037553642,0.570994,-0.3499019,0.3191435,0.022650551,1.3599372,1.1364306,-0.62748015,1.0465332,-1.6394275,-0.97854173,-0.765552,0.36860907,-0.37370694,0.22179484,0.6872315,-0.67338395,0.50620264,-0.9920033,-1.166536,0.23664689,0.6104579,1.0716703,0.53074163,0.25432435,-0.61192954,-0.24831623,1.3609273,1.474363,1.0830741,-0.27240986,-0.45431888,-1.452603,-0.88695025,0.543831,-0.25757658,-1.2187396,0.3081733,-0.51902294,-1.0959417,0.47576836,-0.15575191,-1.3487626,1.1577766,-1.6227912,-0.3549381,-1.2832879,-0.6454096,0.26831293,0.5791953,0.7582423,1.336538,0.5745522,0.113592006,0.62471986,-1.7915361,0.9866683,1.6544123,-0.063898,-0.36465266,-0.6607963,1.1790934,-2.387335,-0.30435246,-0.7093949,1.3063687,-1.7058964,0.36668906,0.81790996,1.7099142,-0.19687137,2.324835,-0.68258274,-0.109760374,-1.1604891,-0.060409777,-0.84387463,0.53985757,-1.4989616,0.25180003,0.9887447,1.0734715,0.045105778,-0.24350321,-0.23475496,-0.50439453,-0.46518567,0.44340202,-0.2733826,-1.1098181,0.6447579,-0.4445481,1.8787737,0.3983706,-1.7839966,-0.5654796,0.11894379,-0.71315324,-0.9139421,0.3307263,-1.9126406,-2.1587415,0.22774166,0.7282149,-0.27052522,-0.050688308,0.6259279,-0.3813644,1.0057751,-0.0008495377,-1.7067997,-1.8804439,0.51929784,0.21465121,-0.16486382,0.14827465,-0.6909168,0.097886235,-1.4062562,1.6419278,0.995858,-0.30828154,-1.6916597,0.76476747,0.670398,-0.63247895,3.1798859,1.2031407,0.47053334,0.7468094,0.87545073,-0.49247286,0.7059179,0.44780126,0.19078767,1.1972562,0.81133974,-0.055599336,-0.4972243,2.0616028,-0.34025824,-0.031902995,1.6157546,-0.5891841,0.37840036,-0.42982966,-0.49558565,1.5552512,-1.2305797,0.68901813,-1.5520538,0.12898518,-0.00831399,-0.54627234,-0.3489143,1.1782432,-0.70259184,1.1146487,1.0026209,1.714189,1.1687007,-0.15498987,-1.404844,-0.72220165,-0.41048485,1.3279209,-0.7893809,-0.21618426,-0.8395121,-0.05621742,0.06273124,0.9792996,1.4512025,-0.03599424,0.1904351,0.3529263,0.6338206,-1.3052089,0.4169338,-1.0990115,0.56785846,-0.13396117,-0.47300154,-0.59112453
C_6,-14.224685,-1.8284729,2.0721424,-2.8792257,0.43865478,-0.6902229,0.8879627,0.0447951,-4.1737447,0.098755166,0.10515903,0.84776556,2.7505424,0.27147797,-1.3005412,-0.3517427,0.6853562,0.72011787,0.17959617,0.24000706,-1.4939872,-0.9362266,1.0274915,-0.7999087,-0.10536516,-0.83544445,-0.4641997,1.0102533,-0.60109,-1.9697,0.442262,-0.109998085,0.1493089,-2.508911,0.27995634,-0.1364788,1.1738952,0.24455331,-1.6906334,-0.7111714,1.8941743,-1.2373599,-0.61417955,0.72526866,-0.79860556,1.6491436,-0.5882983,-1.4897349,1.5297985,1.1609863,2.4544184,0.56990594,-0.7512829,-0.6815005,-1.0407345,2.163728,-0.345695,-2.4716864,-1.1347691,1.1327546,-0.5635541,-1.0823503,0.013444372,-3.4194944,1.0967729,0.23427923,-0.80353343,1.6794287,2.2958033,-0.6568837,1.6821005,0.9779234,3.3058343,1.5901457,-1.3835266,1.4321164,2.5331786,0.93383604,0.71885794,-1.0535843,-1.6520146,0.45627165,1.7346016,2.0220006,-2.133003,-0.27024248,0.0031049587,-0.78161025,3.8710175,3.545072,0.56199706,-2.7909381,1.5702018,-2.684128,-0.64989144,-0.32280448,0.46957996,-3.4218926,-2.3354764,1.4040354,-0.16441791,2.1288395,0.84464025,-1.2551368,1.0672029,0.13934056,2.3659046,-1.0809609,0.9033783,-0.3784838,-0.26088077,-0.7169577,1.6181225,1.7837019,-1.4628569,1.0367082,-2.0264108,1.2447269,-1.7261351,0.48663145,1.6853871,1.336189,0.61213905,-1.4160522,-0.5076576,1.645706,-0.4431185,-1.2007195,0.33082196,2.391834,-0.5268315,-0.511223,3.0889618,-2.559692,-2.43755,1.6092392,-0.6058133,2.3853004,0.33876407,0.29034624,0.8880567,1.2118753,-0.29472396,0.16317444,0.870453,0.00901789,0.7916979,0.4729745,0.54255974,1.7946327,-0.6697203,1.1717074,-1.2357541,-3.759045,-0.68075556,3.2979214,-0.4927656,-0.5232862,-0.970231,-0.26207656,1.534608,-0.64589816,-1.0204656,0.9563045,-1.9024568,1.9717287,-1.2448962,-3.5772188,-2.2093537,-1.2248831,-1.0363382,0.7194523,2.077447,4.279924,-1.3557051,0.05678031,1.2938057,-2.2315571,1.8549215,-2.107632,3.2987356,-0.12052962,-0.67993647,-3.2309813,-0.0005420311,1.1671526,0.9085348,-1.0687649,2.023844,1.3397607,4.398845,0.025148489,0.09178414,-3.0555446,2.9099379,1.7297521,-2.8149154,-0.4999693,0.131018,2.888042
C_7,-18.17396,5.316524,1.2755835,-1.5177776,-1.385024,-4.6435356,1.2840843,1.2900265,-0.6010537,1.2271467,0.6322052,1.2630688,0.17985728,0.63985884,5.5586333,2.7123313,-6.834536,-3.2923348,2.6295679,2.1827588,1.0295348,0.78607446,-2.9987652,3.350331,-6.461577,0.052173626,0.51577514,0.5617186,-6.310379,-3.5536392,-4.030035,-8.055288,3.9616945,-4.5316772,-3.7291586,3.2314525,-4.411973,8.178886,2.1965945,-4.7935205,0.5623113,-2.2581654,-3.1438,1.7781328,-3.6882615,-2.5131145,-1.9671341,4.94037,4.09266,-4.632628,6.344052,-10.124676,-4.536724,-4.527085,-3.7508354,3.393581,1.9716264,-0.39711735,5.1693916,-3.2985423,1.6554875,-0.8171531,0.2922672,-0.1635607,-0.49653852,2.7096224,-3.1781418,5.0759945,-3.8757157,1.4062461,-0.50557697,-2.1945853,-2.7245336,-0.603101,3.3500137,0.7873103,7.0029078,10.5155735,4.9959154,-1.7673147,-1.7745172,-1.7108687,4.691105,5.476423,0.032520957,-3.650755,5.9562,-4.2509375,-0.10397733,1.9426147,4.020761,7.6924014,2.407246,-2.545601,7.6733,1.2542783,9.866142,-4.348571,-0.63131845,0.8741192,1.3337207,0.5902668,0.6332701,-3.458996,2.486427,1.2064147,1.9419837,-8.269215,1.7669262,-2.1332157,-3.8359308,-3.5826204,-5.012463,-4.864753,-8.405855,-2.5808256,-0.73780835,1.4559326,-1.9180549,-2.1408415,-0.33276755,-4.3633347,5.1966596,3.6926837,-0.18176775,-1.5485921,4.339512,11.655381,-2.5855856,-2.104655,1.4718626,-4.870444,-2.3422258,2.0967453,-1.5750356,5.1795154,3.3097317,-2.594968,2.4438848,-1.3638381,5.1152563,6.7014084,-0.5615253,-1.9761376,0.03735092,2.3182113,-6.38996,-1.7585571,-1.032314,-2.0460079,-2.1863642,3.9866657,2.6768205,-0.4877281,-0.70803005,-1.1890501,-2.434414,0.177289,-5.2664266,0.42997462,-1.6292231,-1.4518738,4.4144874,5.842494,2.6844034,5.569745,-0.61974245,4.7876754,1.4159286,-0.77038884,0.7231193,-1.841424,-4.0542903,0.95435095,2.379398,-3.7931883,-1.956019,0.004095547,5.845381,-2.0289736,1.483276,2.6773958,-2.0591235,2.4858623,-3.3622823,2.5711606,0.021545177,-6.097235,1.4042352,0.48788214,-2.6203425,-5.8320823,-5.4196234,1.3821715,1.7550274,0.8442313,-3.481894,3.399467,-0.433201,-1.4635882
C_10,21.635492,2.5108955,-3.8726997,0.6439199,-6.757691,-1.5054588,2.7658172,1.2960052,-0.8844329,-2.3362818,2.9638171,1.1125127,0.4731797,-0.74155205,0.9787039,0.23534286,-0.26106182,-0.74136543,0.82914144,-0.010575349,-0.8319332,0.1666027,0.95816875,-0.8606689,-0.27730504,-0.4312243,-0.11761401,-0.7452789,0.17022617,0.7214121,-0.2866916,-0.2899213,-0.6570499,-0.4775213,0.6901894,0.074994616,0.2509377,-0.09092945,-0.33811027,-0.69389206,-0.7555016,0.0521119,0.25400326,-0.81914157,0.19922018,-0.27477878,-0.9502205,0.38487422,0.3353603,-0.013912087,-0.53827614,-0.55360043,-0.34047413,0.7503906,0.30500302,-0.5840588,0.16433,-0.8485991,-0.22316827,-0.13413888,-0.11422553,-0.5521645,0.26277485,-0.33903044,-0.05381579,-1.0146551,0.47159743,-0.26400915,-0.36737356,-0.30049452,-0.12940063,-0.58203757,-0.43164843,-0.2076753,0.49862775,0.32907903,-0.730059,-1.3121755,0.28379333,-0.8561068,-0.33561066,-0.9342609,-0.007741895,-0.90495896,0.65297663,-0.67008966,-0.6354437,0.50754505,-0.08680884,-0.2711303,-0.12007803,0.047897987,-0.4114498,-0.089597374,0.52634966,-0.3345463,0.3180874,0.3785603,-0.0153806545,-0.89592946,0.2638035,0.066562995,-0.5657781,0.3386319,0.3787834,-0.09301025,-0.43427327,-0.5594064,-0.33265007,-0.2074548,0.20116234,0.36304444,0.9608998,0.49803355,-0.33539158,-0.10862704,0.006592128,-0.024502546,0.21056403,-0.36090505,-0.12447474,0.11386466,0.78622514,-0.13079807,0.25781652,-0.19605505,0.042855922,-0.008855313,0.07436216,-0.18886735,-0.38773236,0.21417464,-0.48829627,0.7799973,0.035792343,0.46239355,-0.38319048,0.025426067,-0.40717527,-0.17000155,0.01653183,0.62928015,0.60424966,-0.24444966,0.7623794,-0.38855752,-0.32748008,1.3655821,0.24112968,-0.6946494,-0.17739588,-0.03770691,0.31979397,0.78466094,0.97777575,0.06046265,0.24362366,0.13521312,0.35627803,-0.051881533,0.67167664,0.22260109,-0.2023097,-0.63127685,0.007855273,0.5399418,0.72413725,-0.51923704,0.5364506,1.1827159,-0.6423746,0.22627105,0.7828178,-0.23080933,-0.10978719,-0.33822912,-0.1280066,0.0638729,-8.167013e-05,-0.50160044,-1.2163686,0.0368132,0.42249423,0.70458305,0.16206211,-0.8378931,-0.5984495,-0.20892839,0.7571884,-0.41731322,0.1296429,0.194635,-0.9204993,-0.3392574,-0.29781708,-0.2306671,-0.11180581,-0.5020084,0.44336957,-0.11156223
C_11,21.092459,3.1084113,-5.2400203,-3.649137,-0.93380225,-4.560752,5.9652653,5.365326,-1.2180068,-1.4913077,-3.6059492,-1.1836902,-3.3527458,0.81602013,-0.4466358,-0.38754347,0.87600946,0.0073860143,-0.13393058,-0.6702701,0.61115545,0.91530114,0.39243734,0.3626414,-0.3168038,0.5232463,-0.088154756,0.43270963,-0.34618747,-0.103873275,-0.9042692,1.1379863,-0.107165866,-1.3858451,-0.7608695,-0.8552812,0.0077742105,-0.06602919,1.2362752,0.2565723,0.589416,0.88080657,-0.28951907,0.15576975,0.70200974,0.5192536,-0.14256483,-0.11854123,0.44933966,-0.8930193,0.10402919,-0.80185026,1.1696815,-0.8880917,-0.58828485,-0.6066723,0.41314554,-0.839514,1.1944263,0.4144418,-0.82616174,-0.52133197,-0.28126156,0.25327057,-0.19646214,-0.80250907,-0.16449077,0.070258655,0.896158,0.21250106,-0.78412074,0.5881773,-1.199477,-0.50074065,0.318183,0.13661472,-0.23754199,-0.860444,-0.40020534,-0.6839029,0.2175241,-0.03469874,0.41501784,0.6818612,0.16793734,-0.10004045,0.48934484,0.51419365,-0.20518948,0.29441273,0.21434744,-0.92318386,-0.6482049,-0.7164725,-0.4144209,0.40891758,0.0656741,-1.2979817,-1.140104,0.27922758,-0.838123,-0.07145994,-0.29336414,-0.40223235,0.12296296,-0.44492435,-0.6567402,-0.19934522,0.01958808,-0.120272756,0.49681345,0.7175224,-0.6276086,-0.030933227,0.754333,-1.0500534,-0.3057256,-0.46089274,-0.07381571,-0.44593295,-0.30534297,0.101835005,-0.45402616,-0.37304664,-0.577433,-0.040728614,-0.04285746,-0.027637416,-0.01922597,-0.50005466,-0.71523017,0.46664172,0.4847015,-0.4484858,-0.10969008,-0.8032432,-0.24154131,0.23540434,0.10194682,0.5104707,1.4705682,0.025984297,0.40855813,-0.70449424,-0.57662034,0.0128718335,0.018229442,0.27058688,1.2766585,-0.0070565064,-0.093922704,-0.706015,0.32548776,-0.06290207,0.36757562,-0.12056942,0.25901943,0.04944915,0.37451786,0.48066884,0.68096733,0.2869073,0.19126913,0.15727206,0.4723529,-0.4693518,-0.6783831,0.857663,-0.8359704,0.6197963,0.9436656,0.66503084,-0.4581472,0.7804551,0.4118172,0.23814183,0.16807836,-0.27096426,0.056983892,-0.095564894,0.59508723,-0.054351583,-0.2903657,0.13611178,-0.11858872,0.119233094,0.3695506,0.35681546,-0.25237384,0.37860018,-1.2646613,0.58470607,-0.5719029,-0.49562907,1.2811531,-0.5424522,0.3362161,-0.88601685,0.20201351,0.2942534
C_12,18.753597,-0.39853886,0.89841235,-1.3957367,5.519858,-0.87374973,-2.682199,-1.1620746,2.1470351,-0.74777436,-0.19824904,1.5281076,-0.7172568,0.6983204,0.92991555,-0.03015168,-0.69801694,-0.06620725,-0.87624437,-0.26523694,0.7699791,0.050324008,-0.19781658,0.17425571,-0.8740058,-0.008147762,-0.5547388,0.5054048,-0.41694477,0.21338503,-0.17964128,-0.35204524,-0.7257994,0.40129796,-0.33566642,-0.059522234,-0.49450815,0.065941155,-0.041859336,-0.39350078,0.4212522,0.006020656,0.27559295,-0.7737384,-0.404189,-0.06108545,0.028761204,-0.5874533,-0.4493816,-0.6256451,-0.1523627,0.07190617,-1.3235637,-0.056523137,0.34907445,0.116615236,-0.024500562,0.5996257,0.24963294,-0.6778849,0.056961793,-0.34619313,0.7375394,0.15903264,-0.5146673,-0.21995452,-0.48831287,1.2398049,-0.4007705,-0.10048418,0.4226666,0.0756676,0.9313183,0.019310366,0.8563157,-0.58791804,0.6238179,-0.10825001,-1.0721419,0.34466696,0.6812417,0.23570193,-0.39029112,0.21906988,0.5196035,-0.22997822,-0.30109295,0.6122671,-0.26013258,-0.5572577,-0.28696004,-0.74627256,-0.0461026,0.33919215,0.17815423,0.62547415,-0.62601465,-0.6280985,-0.38389122,-0.16990314,0.3287422,-0.5112233,0.020106515,0.22449253,-0.27220395,0.8232612,0.22186095,-0.70823616,0.6682529,0.34103772,0.4997464,0.14751579,0.031760994,0.6449262,0.20223206,-0.6740789,-0.32316175,0.2546396,-0.23412874,-0.27070075,0.47263667,0.11407383,-0.02715542,0.19881296,0.66532356,-0.3960029,1.152613,0.022562418,0.45497674,0.009445788,-0.35339302,-0.0645495,1.2760757,-0.54081976,-0.49428287,0.23555218,-0.2900769,-0.11852474,-0.5608246,0.6772807,0.18446533,-0.37069458,-0.20898671,0.012410415,-0.15531035,0.068331815,0.21068569,-0.050769333,-0.18148535,0.20086555,0.21343774,0.22253945,-0.27436832,-0.49090552,-0.24931778,0.0046405797,0.33946618,1.2671783,-0.7321359,-0.08081299,-0.1354457,-0.24838063,-0.4838088,-0.035555337,0.2758457,0.33715737,-0.34551415,-0.48843482,0.8238414,-0.281136,0.15576795,0.041569978,-0.6252342,0.99703085,-0.57442844,0.81376153,0.14384557,-0.5249372,0.19782534,0.07113673,0.15432802,0.68920326,-0.0794533,-0.5279552,-0.739706,0.31992036,-0.32774472,-0.39648554,-0.21145004,-0.08942736,-0.43108433,0.12215686,0.13990277,-0.2877904,0.31725398,0.09612748,-0.76096547,-0.258768,0.20032866,-0.27782506
