,x_pixel,y_pixel
C_0,16265,19934
C_2,7178,18782
C_3,14487,6446
C_4,15497,7025
C_5,14237,9202
C_6,16762,11230
C_7,20049,17175
C_10,20551,13693
C_11,20300,15289
C_12,14999,14858
C_13,14993,7896
C_15,10954,7319
C_16,19288,12969
C_21,12973,7317
C_22,14750,18775
C_23,14246,19066
C_25,15504,15148
C_26,20049,17755
C_27,14745,13263
C_30,6923,15156
C_31,16002,7605
C_36,17518,9634
C_37,15499,9926
C_38,10705,11236
C_44,18528,9633
C_45,7427,14865
C_49,19792,12678
C_51,7170,9498
C_57,15255,18485
C_58,6670,14431
C_59,19292,17030
C_61,7683,18491
C_65,8694,20231
C_68,17274,18773
C_71,15753,11231
C_72,9695,10947
C_77,13229,11524
C_79,12478,18632
C_80,17015,11085
C_81,7679,14720
C_84,18783,12969
C_86,10451,9060
C_87,12476,16311
C_88,13480,9348
C_90,10206,18199
C_91,18533,15726
C_95,18023,10214
C_102,9695,10657
C_103,11210,11816
C_107,14750,18485
C_110,15003,19790
C_111,13984,8767
C_112,19287,12099
C_117,8189,20232
C_119,20804,15288
C_120,12723,9493
C_121,16762,10650
C_122,20548,10502
C_124,15759,17614
C_127,10460,19794
C_132,14248,21677
C_133,5659,13851
C_134,20554,17174
C_135,16759,7459
C_136,10209,21100
C_137,13225,6592
C_140,15751,9491
C_141,14748,16454
C_146,8441,19216
C_147,11206,7464
C_148,8433,10223
C_149,17518,9054
C_153,20298,13548
C_154,20300,16159
C_155,16008,14277
C_156,15001,17179
C_157,6925,18347
C_158,6418,14866
C_159,16263,17033
C_160,14749,17325
C_161,11718,15587
C_164,16010,16018
C_165,10957,10510
C_166,19040,17756
C_170,18023,9634
C_174,14750,18195
C_175,7174,14430
C_177,8433,10803
C_178,9948,11382
C_179,13995,21242
C_183,16760,8619
C_184,5407,13417
C_185,6164,13561
C_186,18537,19497
C_188,16510,10796
C_189,15244,7170
C_190,8941,14284
C_194,14241,14134
C_195,13985,10508
C_197,5914,16027
C_198,13742,20227
C_199,16512,13987
C_203,11211,12976
C_205,15757,16163
C_208,14739,6881
C_209,14238,11233
C_210,11216,17618
C_211,9946,8771
C_213,19032,9343
C_214,18027,14566
C_215,13236,19647
C_216,14239,12103
C_217,18278,12970
C_219,6922,14576
C_223,14752,20516
C_224,15255,19355
C_225,16256,9490
C_227,13995,21532
C_232,19790,10067
C_236,9196,16749
C_238,12732,19937
C_239,12977,11379
C_240,6166,15302
C_241,9957,20955
C_243,11969,13991
C_245,14495,15439
C_246,16007,13697
C_247,13985,9637
C_252,19038,16015
C_254,16765,13841
C_256,16010,16308
C_257,15498,8766
C_258,6165,14721
C_261,7931,14285
C_262,13990,15149
C_264,5659,12981
C_266,18782,11519
C_267,7175,15011
C_268,9948,11092
C_269,18783,13259
C_271,7176,15881
C_272,18529,11084
C_273,18787,17611
C_276,19537,9342
C_278,11723,20228
C_280,15756,15293
C_283,14243,16455
C_285,18031,18627
C_286,15506,17179
C_287,7680,15300
C_289,10452,10801
C_292,11213,14427
C_293,6918,9644
C_297,15254,18194
C_298,19040,17466
C_301,10958,12251
C_302,14739,6591
C_305,10708,14137
C_306,13477,6737
C_309,16759,7169
C_311,19796,16450
C_312,15751,9201
C_313,12972,6737
C_317,16008,14567
C_319,13983,7607
C_321,17014,9925
C_323,19539,11663
C_324,10206,17909
C_325,18276,10069
C_326,13731,7752
C_327,10954,7899
C_328,7679,14430
C_329,9694,9206
C_332,11715,11525
C_333,7423,10224
C_334,15253,17034
C_335,19795,15579
C_336,8945,19215
C_339,12228,20518
C_340,18274,8618
C_342,17011,7024
C_343,18785,15580
C_345,17769,8038
C_347,12216,8043
C_352,17012,7894
C_354,19793,13549
C_360,7427,14575
C_361,7937,20087
C_368,19289,14129
C_369,16254,6879
C_371,20299,14709
C_372,14999,15439
C_373,19033,9923
C_374,19797,17610
C_375,8946,19506
C_376,7680,15880
C_380,8691,17330
C_381,17265,9199
C_383,19037,14565
C_386,14491,11668
C_387,8188,19361
C_390,15255,19065
C_391,15749,7460
C_393,18530,12244
C_397,14993,8766
C_399,10199,9496
C_400,16258,11231
C_401,6925,18057
C_403,10967,21535
C_406,7929,11674
C_408,20800,10937
C_410,12226,18487
C_415,6919,11094
C_416,6671,16171
C_417,19538,10213
C_418,12470,9639
C_421,19793,13258
C_424,13989,14859
C_430,7684,19362
C_431,9947,9931
C_432,18275,8908
C_434,13987,11958
C_435,15759,18194
C_438,14246,19646
C_439,7935,18636
C_441,9947,10801
C_442,15498,8476
C_443,13743,21387
C_444,20049,16885
C_446,16508,9345
C_447,10966,21244
C_448,17266,9489
C_450,20553,16304
C_452,14745,12683
C_455,18535,18046
C_456,14997,12247
C_457,11973,17762
C_458,16769,19063
C_461,13992,18050
C_462,9702,18780
C_464,13730,6882
C_465,15496,6445
C_466,12467,6157
C_467,7936,18926
C_468,8936,8481
C_471,16508,8765
C_472,7430,18056
C_473,11211,12396
C_474,14494,14569
C_475,20046,14274
C_476,6669,14141
C_477,18281,15871
C_479,15499,9636
C_485,16262,15583
C_487,15249,12682
C_488,15503,14278
C_492,17776,15581
C_496,17769,8328
C_497,9196,17039
