,ClusterName,LayerName
0,eL6-2,L6
1,eL4,L4
2,eL2/3,L2/3
3,eL6-2,I_CC
4,eL5,L5
5,eL6-1,L6
6,eL6-1,L2/3
7,eL6-2,L6
8,eL6-1,L6
9,Micro,I_CC
10,eL4,L4
11,eL2/3,L2/3
12,eL2/3,L2/3
13,eL4,L2/3
14,eL2/3,L1
15,eL6-1,L6
16,Endo,HPC
17,Oligo,I_CC
18,Astro,I_CC
19,eL6-2,I_CC
20,eL5,L4
21,eL4,L4
22,eL6-2,L6
23,eL4,L4
24,eL2/3,L2/3
25,Endo,L2/3
26,eL2/3,L2/3
27,eL5,L6
28,eL4,L1
29,Micro,L1
30,eL4,L4
31,Astro,I_CC
32,eL5,L5
33,eL4,L5
34,Oligo,L6
35,eL6-2,L6
36,PVALB,L5
37,eL5,HPC
38,Oligo,I_CC
39,Oligo,I_CC
40,eL2/3,L2/3
41,eL4,L4
42,Micro,L2/3
43,eL2/3,L2/3
44,Endo,HPC
45,eL2/3,L2/3
46,eL6-2,L6
47,eL2/3,L2/3
48,Astro,I_CC
49,Oligo,I_CC
50,eL6-2,L5
51,eL4,L4
52,Oligo,I_CC
53,eL6-2,I_CC
54,eL5,HPC
55,eL4,L4
56,eL2/3,L2/3
57,eL6-2,L6
58,Astro,L5
59,eL6-1,L2/3
60,Micro,HPC
61,eL5,L5
62,Oligo,I_CC
63,HPC,HPC
64,eL2/3,L2/3
65,Oligo,I_CC
66,VIP,L1
67,Oligo,L6
68,eL4,L4
69,eL4,L4
70,eL6-2,L6
71,eL4,L4
72,eL6-2,L6
73,eL5,L6
74,eL4,L4
75,eL6-2,L6
76,eL4,HPC
77,eL2/3,L2/3
78,Astro,HPC
79,eL2/3,L2/3
80,eL4,L4
81,eL4,L4
82,Oligo,I_CC
83,eL6-2,L5
84,HPC,HPC
85,eL6-2,L6
86,PVALB,L5
87,eL6-1,L2/3
88,Oligo,I_CC
89,eL4,L4
90,eL4,L4
91,VIP,L2/3
92,eL6-1,L6
93,Oligo,L5
94,SST,HPC
95,SST,L2/3
96,eL6-1,L5
97,eL2/3,L4
98,eL4,L4
99,eL2/3,L4
100,SST,L2/3
101,Oligo,I_CC
102,Astro,I_CC
103,Endo,HPC
104,eL6-2,L6
105,eL6-1,L6
